Metric,false,master,close,spread
CYCLE_ACTIVITY:CYCLES_L1D_MISS,"717223031,395459107,714042878,253923521,224488055,203524565,561772839,1075302388","761208796,444184287,351860384,283445974,250190436,207926424,211583155,212289258","776971758,463126455,343792692,674247489,261421836,204675184,281521903,942513633","763123136,440326360,339316226,373784041,250313248,190509855,255704841,391202201"
CYCLE_ACTIVITY:CYCLES_L2_MISS,"397196076,204555171,160886301,139832383,124895929,110027456,1030822744,434409519","428428874,239186022,196975703,158139765,139920889,115615731,119119582,118009446","427228106,249535049,196422419,154770050,147011609,101497311,378134656,315760080","428609676,237056434,189727629,221844965,730471837,102184612,368861997,272274941"
CYCLE_ACTIVITY:CYCLES_L3_MISS,"24321606,17713704,13321591,13264188,14594906,107663483,552672894,518233103","27978402,15248691,13136955,10899820,19368868,10234525,12339513,11681526","24066898,23457671,21717787,11999981,31504623,12509627,69684825,376336252","24008880,13300883,14162173,18116402,31985020,536547702,350196640,197623891"
CYCLE_ACTIVITY:STALLS_L1D_MISS,"336240446,191426461,140176004,122802377,112154475,635069003,194787726,513097443","390076132,231353179,190561706,149302053,138395733,112683186,115463986,114684967","391659496,247852917,184339458,654785112,145446581,95438637,543508545,299133453","386741397,229196818,179132477,256057481,136019399,99625852,158903290,466132069"
CYCLE_ACTIVITY:STALLS_L2_MISS,"212141174,118798192,99426746,719514974,82639901,74794730,447576503,628526123","247263092,154474178,134762362,104158430,100905503,85076619,83359768,85875413","246931340,166533515,131335341,101383169,104350641,72444975,784778300,392327079","243957593,153923084,124780043,165218411,93927626,79797426,342472365,472248203"
CYCLE_ACTIVITY:STALLS_L3_MISS,"17949739,14516442,11896831,11110099,12811393,26232271,472971755,17335657","23773360,12857363,9385773,12202172,16039262,8106460,9438537,9010786","21201366,18932232,18320022,11361832,30239469,13647220,106374158,332314562","20571640,10178359,9802798,22802901,14950631,20334778,199079034,149154984"
RESOURCE_STALLS,"635873686,386002224,313819118,292175958,281728378,253402375,887604903,573392995","688615502,436463843,369641939,316909516,292325167,261851590,269877464,261951541","697559840,459474988,358475794,315733058,314882500,497549137,546621797,1090222962","686216420,434432413,352947368,400535078,295359768,620149394,664928645,466867344"
L2_RQSTS:ALL_DEMAND_DATA_RD,"60460578,38236679,32785760,29986259,28430553,24534181,24344390,25316446","60645953,37760455,32584064,30058108,28377057,24596357,24563421,24604153","61429469,38058206,32619521,30136373,28493463,24364612,24389401,25545667","61239664,37967427,32646300,31915556,28676762,24643632,25906859,25397970"
L2_RQSTS:DEMAND_DATA_RD_HIT,"32113825,29608003,737450336,25104666,24542738,647005704,474379720,805138498","32311455,29424937,26421427,25195619,24582701,22273467,22230106,22277642","32974474,29667389,26362953,25190719,665564789,22143334,335966512,422112581","32257421,29610131,26379558,25294409,24525489,22327667,245288281,377510309"
L2_RQSTS:DEMAND_DATA_RD_MISS,"28378351,8619162,6338796,4880260,3879843,2325330,2295405,2345011","28420515,8340405,6147047,4824958,3822047,2320475,2311253,2321239","28325697,8406930,6267109,4898024,3864475,2249277,2265620,2314977","28824074,8395064,6251027,6555497,3842571,2314546,4600577,2315482"
L2_RQSTS:ALL_RFO,"14923589,10605627,9127341,8397564,7939459,7234797,7276932,7281833","14794333,10498066,9095652,8326141,7931299,7280081,7251229,7274137","14711230,10485815,9050952,8374802,7925794,7091132,7117176,7240747","14811702,10484144,9111372,8204156,7943561,7320161,7443532,7273921"
L2_RQSTS:RFO_HIT,"11233140,7685017,6393502,5709065,5434791,4774858,4786665,4775761","11211546,7589926,6312500,5628882,5346217,4789453,4778370,4781739","10937175,7602129,6322250,5672518,5355559,4776033,4780452,4829287","11205772,7596560,6330260,5931523,5362386,4806505,5074239,4828368"
L2_RQSTS:RFO_MISS,"3702342,2902957,755046414,2677078,2508626,354516123,323043548,1616501803","3589370,2898011,2769346,2697357,2575006,2495373,2449870,2493874","3766034,2894282,2730606,2695030,2572053,2300886,281204363,316000077","3601521,2896812,2787152,2294420,2565924,2496016,1288017359,686770371"
