Metric,false,master,close,spread
CYCLE_ACTIVITY:CYCLES_L1D_MISS,"273413738,174493202,89926861,77180627,72684475,84417215,134462513,312586158","290696308,140786303,90388967,64888088,75309254,39440783,32501880,37548439","297200281,179352935,138288529,926521051,917475638,41715601,356565120,31914227","306268253,150240776,78105394,66527578,80103366,1174391749,207287939,171184874"
CYCLE_ACTIVITY:CYCLES_L2_MISS,"121148098,57487641,34105357,25477277,24660821,101032775,688718616,58770254","126415521,57826600,35521964,25112036,24887733,12149149,12234405,12811440","131124211,62497257,40202048,24231805,114987798,14133446,195570309,101075658","132051813,58598989,32869811,24839327,26439353,108897751,920778234,321184397"
CYCLE_ACTIVITY:CYCLES_L3_MISS,"92552514,44061915,27212192,20732242,18725029,53194052,108454749,56129440","96329135,47632690,28786633,19955905,18247164,9858608,10037661,10137563","98151471,48554620,30847737,926849437,63851219,10070597,231553528,10147698","97988964,47156972,27105345,21181805,18368870,60154784,204822570,230696853"
CYCLE_ACTIVITY:STALLS_L1D_MISS,"153029819,72264240,43902993,925332653,31265014,12960649,40700722,332919182","160939427,72335030,46280798,32029591,32891924,17679502,16664751,16855106","165760227,79438816,50792316,32765871,78155289,19063975,152539268,111555193","165168020,75133641,42707147,32294273,33187031,72739268,79061309,382473752"
CYCLE_ACTIVITY:STALLS_L2_MISS,"99588763,45914670,28700974,20926124,19732680,8900715,342609280,684121238","103951023,48455554,30101846,20369843,19577595,9746527,9989564,10028621","107772687,50991031,1197347003,20094574,65089339,55643380,191212878,233865897","106596214,48558280,27079505,19468774,19474004,64475250,126639736,418602539"
CYCLE_ACTIVITY:STALLS_L3_MISS,"83929257,38720457,23900469,18779034,16861186,98020612,698019606,970526075","88338881,42062803,26086426,17897452,16778321,8676098,9060528,9647515","89988120,43536069,29033247,18295011,784812281,54222189,319811658,9325447","90058285,39359015,24159932,17484598,16466435,62117152,160676059,184888230"
RESOURCE_STALLS,"428135273,217129924,144729538,237507753,137771946,143933010,656956198,324027447","437562380,217853419,141946587,105653892,108587925,72221453,57512118,70667025","451234415,237470638,190620241,106298661,203927883,634902358,344708261,57092191","450269192,219904976,135825743,196577703,104270355,73245700,476399090,420881488"
L2_RQSTS:ALL_DEMAND_DATA_RD,"12474884,9461772,4724897,4227955,3643601,2103964,1676990,1697533","13411922,6742267,4961590,3368951,4025585,2058765,1651373,2170841","13567722,9839819,4339460,3493291,3757982,2205905,1943424,1651618","13907703,7436636,4125086,3545173,4037012,2213794,3139813,2150113"
L2_RQSTS:DEMAND_DATA_RD_HIT,"11436149,9051189,4390430,3805890,47084091,368376850,273720891,362202896","11870150,6216204,4641131,3133852,3731875,1939462,1544399,2050790","11766578,9071524,48050999,49032002,91928315,268944040,774767588,275536203","12096229,6818621,47790829,47480667,3646218,419218867,923958878,91697458"
L2_RQSTS:DEMAND_DATA_RD_MISS,"1055899,799331,306675,245831,250120,128679,322509,317502","1543843,541457,327255,226004,314017,118838,115815,129759","1814047,767753,426395,223060,291572,127203,135052,133452","1807118,618368,306298,224042,384844,219715,259999,129636"
