Event Name
perf::PERF_COUNT_HW_CPU_CYCLES,826286848
perf::PERF_COUNT_HW_INSTRUCTIONS,802552128
perf::PERF_COUNT_HW_BRANCH_INSTRUCTIONS,39485880
perf::PERF_COUNT_HW_BRANCH_MISSES,9109201
perf::PERF_COUNT_HW_BUS_CYCLES,5027028
perf::PERF_COUNT_HW_REF_CPU_CYCLES,549329536
perf::PERF_COUNT_SW_PAGE_FAULTS,31882490
perf::PERF_COUNT_SW_CONTEXT_SWITCHES,18228964
perf::PERF_COUNT_SW_CPU_MIGRATIONS,18224748
perf::PERF_COUNT_HW_CACHE_L1D:READ:ACCESS,454050752
perf::PERF_COUNT_HW_CACHE_L1D:READ:MISS,24079106
perf::PERF_COUNT_HW_CACHE_L1D:WRITE:ACCESS,84836344
perf::PERF_COUNT_HW_CACHE_L1I:READ:MISS,36455948
perf::PERF_COUNT_HW_CACHE_LL:READ:ACCESS,18252446
perf::PERF_COUNT_HW_CACHE_LL:READ:MISS,27332720
perf::PERF_COUNT_HW_CACHE_LL:WRITE:ACCESS,4440869
perf::PERF_COUNT_HW_CACHE_LL:WRITE:MISS,22193492
perf::PERF_COUNT_HW_CACHE_DTLB:READ:ACCESS,451641536
perf::PERF_COUNT_HW_CACHE_DTLB:READ:MISS,4437638
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:ACCESS,80526904
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:MISS,26614144
CYCLE_ACTIVITY:CYCLES_L1D_MISS,53357272
CYCLE_ACTIVITY:CYCLES_L2_MISS,37056664
CYCLE_ACTIVITY:CYCLES_L3_MISS,53457708
CYCLE_ACTIVITY:STALLS_L1D_MISS,37973548
CYCLE_ACTIVITY:STALLS_L2_MISS,32088220
CYCLE_ACTIVITY:STALLS_L3_MISS,22396728
RESOURCE_STALLS,156814528
L2_RQSTS:ALL_DEMAND_DATA_RD,1377346
L2_RQSTS:DEMAND_DATA_RD_HIT,45582048
L2_RQSTS:DEMAND_DATA_RD_MISS,26926
L2_RQSTS:ALL_RFO,95741
L2_RQSTS:RFO_HIT,93241
L2_RQSTS:RFO_MISS,26606380
L2_RQSTS:ALL_CODE_RD,4547
L2_RQSTS:CODE_RD_HIT,878
L2_RQSTS:CODE_RD_MISS,3832
L2_RQSTS:ALL_PF,50335804
L2_RQSTS:PF_HIT,49513288
L2_RQSTS:PF_MISS,970151
L2_RQSTS:ALL_DEMAND_REFERENCES,1468003
L2_RQSTS:ALL_DEMAND_MISS,8898616
L2_RQSTS:REFERENCES,12352581
L2_RQSTS:MISS,23153948
OFFCORE_RESPONSE_0:DMND_DATA_RD:ANY_RESPONSE,48808104
OFFCORE_RESPONSE_0:DMND_RFO:ANY_RESPONSE,31079456
OFFCORE_RESPONSE_0:DMND_CODE_RD:ANY_RESPONSE,39928792
OFFCORE_RESPONSE_0:PF_L2_DATA_RD:ANY_RESPONSE,40706160
OFFCORE_RESPONSE_0:PF_L2_RFO:ANY_RESPONSE,48857752
OFFCORE_RESPONSE_0:PF_L1D_AND_SW:ANY_RESPONSE,17781126
RUNTIME,0.678278
