Event Name,10000x500,10000x1000,10000x2000,50000x500,50000x1000,50000x2000
perf::PERF_COUNT_HW_CACHE_LL:WRITE:ACCESS,"451,3139812,718,738,604,10454176,18209754,35871296","660,3042888,3044298,491,3040136,18281260,16337758,560","504,488,451,3052001,9163049,16366013,13091068,13093359","1654,2906,1519,8827148,13237048,37260744,46237020,60182056","2543,15187734,19632374,19596312,24013478,22062102,17785198,64796120","1343,15220702,15224098,24154912,4413715,46110992,1573,44722712"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:MISS,"0,0,3137072,0,3038806,6967459,15184107,29372644","0,0,0,3048987,3041976,9131682,0,35917032","0,3050158,3048980,0,9152698,9823778,29462054,13095176","0,0,19592202,4412289,23997038,37255712,17820324,51347220","0,15187256,15218427,24023462,19607198,8825870,26858762,26775874","0,15205262,4411684,4412589,28447212,41693468,8883230,46794120"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:ACCESS,"19356092,22684760,19782926,23108902,23202480,39963360,25238448,31330266","19371096,19577856,22809820,19991568,32283162,25360540,48438756,52762532","19401100,22638480,19815792,20023492,27415546,31140612,51773528,59346252","96716088,102527720,102833328,97616416,106680216,118086320,110852304,111312280","96731096,102550616,107219288,111917168,112211560,126861488,131952896,152733648","96761088,97061096,102912440,97661424,97961616,118159872,137829472,142437984"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:MISS,"0,9,7,14,6076423,3,24293922,9789603","3,16,21,20,0,9121367,32679636,45727984","0,3049645,6098845,37,6102987,3275526,22921224,36012104","0,15189926,19586174,19583086,4412441,41670492,59740392,64726228","8,100,19603188,8825378,141,32844918,22267796,55686164","38,15212109,15224139,4412496,28449798,26480564,51177432,51255672"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:ACCESS,"15218891,18256252,18355720,15219053,18258748,27760928,24328714,21740724","15226898,18271276,18270708,15227046,18268270,25868468,31595132,41364440","15242896,15242877,15242963,18291306,21347830,34884416,46443336,33357644","76058896,83633392,80471296,83613664,88031120,101336976,120632112,137605408","76066896,83649064,83650424,83651512,76067152,102548560,123984104,141994880","76082880,83693344,88102032,76083048,83689472,105757528,107090480,102907152"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:MISS,"0,0,548,0,3037351,3135675,27327734,26106928","547,1,3044970,6085038,21,9174581,29408826,35968216","0,0,3057383,3,6103763,9819576,29545292,29470576","0,15256014,19574396,110,4412038,46090616,35625516,51281200","2980,15186371,15180714,24011402,134,37258152,64535980,57919124","107,15209978,4414107,15224373,4412328,37280748,8866833,73590992"
CYCLE_ACTIVITY:CYCLES_L1D_MISS,"10098,3048561,3185657,9127014,12163596,25172034,12222494,45751092","131249,3098369,6148531,3096288,9195718,9212671,36045536,32765188","164108,3194740,165678,9313677,3220980,27005988,32926528,29751372","44887,49031,4463119,24035852,19646208,26570078,22419876,40405528","721028,15473781,4684472,19888084,19852996,22388646,53757224,40625248","830170,844627,15976840,24812138,827288,24843088,29769338,63446488"
CYCLE_ACTIVITY:CYCLES_L2_MISS,"2970,3040253,3140099,9119278,12155307,21978508,39522840,48984476","3873,4331,6092673,9139015,3050768,27390044,32718492,32712324","3744,3054944,6110444,6110656,9159546,18335136,42627080,32775738","12973,15264434,15182896,19592168,8870262,39765540,73041880,60267284","19064,14554,15193466,24028920,28450704,46132952,51123336,69216840","17074,15229086,19661654,20485,24063850,37319916,55676424,9129690"
CYCLE_ACTIVITY:CYCLES_L3_MISS,"264,3035759,3135140,9111072,12142768,21944316,27341588,29374192","0,3044039,0,6084635,3042235,27368396,35946220,39208528","0,0,6102447,9150318,6102856,284,16369019,29453836","0,15249798,19581148,19571310,28404278,35301008,46403060,51240496","0,15189435,19596430,24009466,4411996,13237134,44629700,62637312","284,0,19640280,19637234,8826751,17653000,68892592,49052060"
CYCLE_ACTIVITY:STALLS_L1D_MISS,"2850,5035,6279516,6085925,12158406,12584944,21315618,45725848","16836,16788,3064921,9148992,3065282,9160670,42519496,45749228","47940,48401,3102308,9198770,9215302,21439868,32792256,29529994","15861,19118,24335,25025,19609460,52241,35754608,42283840","84747,15278339,19665874,15295978,4507700,50606228,40254280,55825844","238806,15438994,9075331,4668575,24276102,41957576,13631310,78395408"
CYCLE_ACTIVITY:STALLS_L2_MISS,"1495,2655,3043183,9118436,9116333,12575566,24350300,29407734","1931,2831,3116,6088222,12174062,24347388,26174150,26186180","1764,3054601,6103337,9172375,12215156,24425722,39336608,19687548","5889,8971,19601156,24003860,24015056,28456998,35630464,62621848","8681,8471,4426579,24023954,4440193,50534696,68982432,60327564","7072,15230224,11757,8839498,8840661,17695900,51332696,73741296"
CYCLE_ACTIVITY:STALLS_L3_MISS,"0,0,3038579,6072735,12144478,28220160,30385882,13053994","0,0,0,9170669,12164196,24325886,16337179,42472796","0,3049971,6105447,9152546,6102018,15252006,42574464,13094319","0,0,4412173,8824517,8824179,13239184,48962648,67108032","0,0,4412493,4412760,28420778,46085496,37795404,40239004","33,0,4413359,8,13237102,32878426,35731444,55785236"
RESOURCE_STALLS,"12763676,15789667,15804962,12769843,12766801,31512028,26684506,54751616","12786167,12804440,15837373,21914872,15839643,29767644,53095008,45008584","12876936,14660678,17688614,20734536,23793560,28125884,40083200,51723620","63760640,72730096,76962928,63689964,81353808,103453864,112745712,114362768","63849684,72725504,68286640,77176952,68370776,79602512,105316432,123536560","64317420,73023888,68664624,68729112,86220672,86264368,105854368,132760304"
L2_RQSTS:ALL_DEMAND_DATA_RD,"602,983,955,793,964,5899,1223,1920","5897,5871,6085,5624,5338,6268,7295,6580","17805,17455,17908,17597,17358,17397,18675,18433","3774,4282,4054,4064,4795,4923,4934,6539","28790,33059,30581,36283,27865,32256,34689,35202","88441,91467,90980,91075,88815,91718,93334,94600"
L2_RQSTS:DEMAND_DATA_RD_HIT,"766,3036075,6077127,9110425,9107722,21859412,27327988,42424152","5799,5703,6089105,6087088,12174940,27376506,39324932,9807934","17681,3067300,6117152,6116974,6119149,27453732,22932512,9848791","3768,15186515,4416108,8832384,28410740,35311324,26761128,49121100","27054,32539,19621270,8859465,8851752,22094084,64477164,60219528","89967,15286587,19723516,24134628,28531680,50612880,69047984,9024730"
L2_RQSTS:DEMAND_DATA_RD_MISS,"41,43,57,77,96,158,169,184","62,61,45,78,92,134,205,228","61,57,55,66,82,169,189,197","200,335,389,455,550,848,837,1073","297,275,274,423,453,777,938,1050","201,247,342,609,411,709,877,927"
L2_RQSTS:ALL_RFO,"15106,15134,15155,15147,15183,7526,15317,15432","15269,15280,15349,15302,15343,15424,15529,15574","15646,15664,15626,15696,15799,15784,15942,15937","75288,74926,75358,74992,75016,75109,75555,75332","75239,75341,75168,75335,75332,75416,75462,75668","75579,75768,75818,75988,75882,76246,75959,76515"
L2_RQSTS:RFO_HIT,"14633,14539,14649,14654,14701,6895,14773,14924","14813,14850,14774,14812,14849,14937,15065,15122","15191,15163,15152,15223,15289,15206,15331,15319","73601,73560,73670,73657,73640,73616,73673,73845","73994,74008,73807,73848,73972,73729,73946,74245","74308,74606,74448,74686,74552,74526,74459,74652"
L2_RQSTS:RFO_MISS,"493,3038660,3035564,9115152,12143820,21956834,30349648,29358244","459,3043628,6087518,9124862,12168966,24331318,13067658,35926856","448,3051677,6100565,6100749,12207723,24392230,29459276,13097227","1626,4413863,19581174,19576458,13237270,8827652,68588976,55781236","1240,15189822,19596628,24024388,28427408,32841924,33231430,44619440","1242,15221890,19615588,24056742,24041516,41693408,64599000,73559960"
L2_RQSTS:ALL_CODE_RD,"784,811,920,1150,1235,2395,1949,2479","784,897,1092,1135,1348,1936,2195,2575","815,870,1029,1063,1215,1833,2162,2424","1566,1632,2008,2320,2764,3907,3715,4035","1542,1853,1931,2308,2644,4112,4094,4024","1542,1921,2185,2494,2812,4138,4204,4143"
L2_RQSTS:CODE_RD_HIT,"646,625,724,881,1138,2174,1797,2280","588,670,752,894,989,1703,1907,2295","642,667,797,852,991,1659,1826,2112","1181,1104,1245,1479,1554,1926,2025,2329","1172,1249,1200,1385,1555,1917,2202,2481","1180,1346,1444,1537,1616,1980,2322,2413"
L2_RQSTS:CODE_RD_MISS,"143,195,191,196,207,194,224,258","193,199,232,232,214,212,314,278","186,195,194,225,228,209,311,323","358,549,708,909,1157,1993,1684,1610","344,605,799,948,1095,2204,1930,1658","378,586,750,1013,1191,2141,1962,1665"
L2_RQSTS:ALL_PF,"15210,3054815,15268,9131047,12156323,25091260,24295876,15622","15603,15495,6101544,9133201,6100517,24353766,45756232,39218820","16116,3067244,6117077,9166345,12225422,12217358,26213656,29486342","76424,15269051,8900405,13314004,8903315,35377340,17921950,44742796","77808,15327434,19654134,13313711,28498224,37318920,44571448,44762552","79789,15266974,19714180,78198,28517242,41775584,55719768,69112400"
L2_RQSTS:PF_HIT,"3001,3041814,6077696,6079315,9111358,18816832,24264692,35908856","3494,3045832,6088742,9124265,6084919,18251644,29407974,26130822","3308,3055640,6100480,9157530,12209717,24396132,19643756,26188570","2509,2974,15172011,8827974,28404026,46062308,8829180,35745408","3598,15191029,19592874,24031546,28425334,41654692,64480948,40188904","4853,15225453,19648516,3451,28457862,22069916,51248692,62477464"
L2_RQSTS:PF_MISS,"11752,11488,11432,11964,11888,6606,12034,13973","11987,11320,11733,11708,11518,11645,14065,14166","12449,11878,11679,11644,12324,12487,14002,14238","74021,74328,74107,74373,74344,74524,73927,74628","74403,74101,74320,74077,74241,74310,74473,74508","74219,74340,74118,74164,73862,74011,74472,73930"
L2_RQSTS:ALL_DEMAND_REFERENCES,"16555,16878,16905,17116,17543,15434,18647,19895","21769,22041,22839,22107,21729,23631,25044,24730","34256,33916,34590,34373,34559,34900,37011,36890","80653,80468,81688,81649,83360,84171,83921,85925","104857,109777,106348,110238,106343,111059,115011,115042","167572,171532,171323,170329,167897,172614,173382,173089"
L2_RQSTS:ALL_DEMAND_MISS,"684,822,3038729,6077351,12152886,21955692,15173373,42429536","774,3043495,748,9128075,6082609,24367348,16333056,42482128","708,3052017,6103933,6104573,3053322,27448032,13109293,16371930","2254,4414065,19591340,15169808,4415172,46073176,13412141,37922036","1884,2189,19594822,24010074,24013792,50490968,68938736,62663904","1954,4414404,19644172,24052004,8827031,17654372,17706914,60173224"
L2_RQSTS:REFERENCES,"31914,32057,3070749,9136859,6105670,22259338,24290306,26144472","37562,37291,3080822,9154309,12213374,27405164,29439020,35977044","50444,3096051,50550,6154980,3101170,24447220,22983444,29512640","157229,15319040,19735734,24135826,159364,46209588,160882,55878528","183377,15355846,19761600,24187292,13420678,22257284,51338300,26930512","245679,15439066,9072658,24267904,9073038,9078347,64782220,45066420"
L2_RQSTS:MISS,"12642,3049741,6083839,6087237,6089609,12555078,18216066,32634780","12732,3055974,3058296,12372,12182652,3053151,16347664,35955416","13343,3054103,6114250,9163654,3064122,24411552,39302924,16383341","76284,76640,76774,24061084,28479754,50548004,49092668,49282180","76394,15256528,8901248,24086314,28491164,26556688,69061576,26896212","76271,4487963,76664,24118004,28525700,41777240,60181576,53815032"
OFFCORE_RESPONSE_0:DMND_DATA_RD:ANY_RESPONSE,"50,3037118,6071172,6073044,94,12545326,39458516,202","68,3042411,6084165,9121130,12172484,15195146,26140814,26139688","71,3043526,3049865,6101435,6105004,15250312,19641380,22912144","211,308,19592404,4412717,561,46060004,40028900,60133960","309,15191384,15191003,8826389,24009136,41659820,35533524,26897706","298,4413541,19645652,24046410,28454826,30889236,33267888,64619912"
OFFCORE_RESPONSE_0:DMND_RFO:ANY_RESPONSE,"511,3037892,3036529,9112008,6077375,15678157,30368356,22848836","474,3043245,474,9120803,6083721,21286544,19603794,29386730","482,470,6099410,9150874,9152394,27447174,3275045,36010620","1723,15197082,1731,15168344,1416,1466,44508376,44705784","1316,15188451,19597006,13237873,28411748,32832944,60027680,55778008","1299,1547,19635948,24059428,28459930,13238246,42363924,67033896"
OFFCORE_RESPONSE_0:DMND_CODE_RD:ANY_RESPONSE,"230,203,6073529,3036935,12152302,21946216,24286646,22840346","200,3041632,6083521,6085341,9124285,6083183,19606948,26125584","197,3045101,6100280,9149069,9154041,18299732,16381794,36010632","375,553,19580174,23992898,4414581,46063472,40009928,78034896","343,594,19586862,13238976,28425968,30895344,26751578,42210388","400,15228262,19642224,24050444,28455002,17650862,64520632,77992936"
OFFCORE_RESPONSE_0:PF_L2_DATA_RD:ANY_RESPONSE,"413,3037153,392,9115615,12155530,21948802,30351066,52213832","459,3042758,3045697,9127124,6082621,18250246,571,35918692","513,3043860,6100139,3052013,12197939,18294630,32822912,16368190","273,15171837,15170104,19582416,8831251,41653768,35601012,64621056","3368,3212,19598082,4415698,15192570,30889082,42085720,49134240","3306,15212477,8829454,19641228,8829009,46108920,64436184,31309508"
OFFCORE_RESPONSE_0:PF_L2_RFO:ANY_RESPONSE,"11625,11331,6083084,9121541,12160373,6278868,24302186,24559094","11573,3054432,6096644,3052795,12177058,18260282,29416900,29410522","12159,3052420,6111121,9164395,12213470,27449578,26205150,29479610","73626,15228955,73589,24059924,8894758,37299840,17907314,55808136","70738,15247587,4482689,70605,28490314,17721958,8948507,26801740","70548,15288200,8893826,24109940,24107088,41767784,51337464,51386068"
OFFCORE_RESPONSE_0:PF_L1D_AND_SW:ANY_RESPONSE,"70,3036359,6071775,9118934,6073923,15683648,76,39149876","77,3042523,6083809,3039887,9117982,18246266,29396096,32656682","77,3119274,3051752,6104449,9149394,12204237,3274822,84","13,15166301,19590038,8824758,4412505,22062864,49024568,44508124","389,384,19583908,19601648,13237081,50491360,26649316,26719610","387,15218371,385,4412797,28459812,41699200,31122868,58035576"
RUNTIME,"0.414987,0.44291,0.446501,0.456508,0.456601,0.486743,0.485428,0.498976","0.421216,0.439001,0.445783,0.44421,0.452391,0.460332,0.499777,0.501373","0.416134,0.422466,0.446069,0.457167,0.456595,0.477662,0.493085,0.502806","2.06186,2.09959,2.14023,2.14881,2.16876,2.16624,2.1656,2.20898","2.09983,2.11495,2.1182,2.12227,2.14512,2.14937,2.20355,2.21057","2.06975,2.14626,2.14071,2.16368,2.16264,2.16581,2.20912,2.21186"
