TRIAL	SIZE	INST		CYCL			RUNTIME (ms)
0	512x512	6585065094	4621205343		1193.92
1	512x512	6585063714	4569538696		1180.06
2	512x512	6585064601	4570630295		1179.55
3	512x512	6585063561	4569484997		1179.27
4	512x512	6585064499	4569146144		1179.94
5	512x512	6585063667	4568697560		1179.94
6	512x512	6585063310	4564317849		1180.58
7	512x512	6585064566	4560859257		1182.48
8	512x512	6585063601	4562465276		1181.62
9	512x512	6585063305	4571039658		1178.55

--------------------------- AVERAGES ---------------------------
TRIAL	SIZE	INST		CYCL			RUNTIME (ms)
ALL	512x512	6585063997	14060357118064		1181.59
