TRIAL	SIZE	INST		CYCL			RUNTIME (ms)
0	512x512	0	0		1655.22
1	512x512	0	0		1780.16
2	512x512	0	0		1716.56
3	512x512	0	0		1707.01
4	512x512	0	0		1632.54
5	512x512	0	0		1602.62
6	512x512	0	0		1530.8
7	512x512	0	0		1544.94
8	512x512	0	0		1524.7
9	512x512	0	0		1455.44

--------------------------- AVERAGES ---------------------------
TRIAL	SIZE	INST		CYCL			RUNTIME (ms)
ALL	512x512	0	0		1615
