TRIAL	SIZE	INST		CYCL			RUNTIME (ms)
0	512x512	0	0		1460.73
1	512x512	0	0		1444.33
2	512x512	0	0		1441.71
3	512x512	0	0		1459.58
4	512x512	0	0		1454.69
5	512x512	0	0		1446.01
6	512x512	0	0		1442.34
7	512x512	0	0		1438.22
8	512x512	0	0		1441.13
9	512x512	0	0		1441.83

--------------------------- AVERAGES ---------------------------
TRIAL	SIZE	INST		CYCL			RUNTIME (ms)
ALL	512x512	0	0		1447.06
