TRIAL	SIZE	INST		CYCL			RUNTIME (ms)
0	512x512	6585065140	4724027870		1220.48
1	512x512	6585063727	4647493818		1206.67
2	512x512	6585064659	4650911537		1204.46
3	512x512	6585063549	4655578961		1200.51
4	512x512	6585064571	4656500947		1201.13
5	512x512	6585063635	4656288849		1200.28
6	512x512	6585063336	4648937871		1208.09
7	512x512	6585064663	4656385818		1200.6
8	512x512	6585063545	4647817503		1202.94
9	512x512	6585063331	4653569479		1201.12

--------------------------- AVERAGES ---------------------------
TRIAL	SIZE	INST		CYCL			RUNTIME (ms)
ALL	512x512	6585064015	4659751265		1204.63
