TRIAL	SIZE	INST		CYCL			RUNTIME (ms)
0	512x512	0	0		1405.67
1	512x512	0	0		1413.01
2	512x512	0	0		1432.44
3	512x512	0	0		1409.47
4	512x512	0	0		1399.84
5	512x512	0	0		1422.12
6	512x512	0	0		1386.88
7	512x512	0	0		1402.27
8	512x512	0	0		1409.42
9	512x512	0	0		1406.24

--------------------------- AVERAGES ---------------------------
TRIAL	SIZE	INST		CYCL			RUNTIME (ms)
ALL	512x512	0	0		1408.74
