TRIAL	SIZE	INST		CYCL			RUNTIME (ms)
0	512x512	0	0		1433.41
1	512x512	0	0		1400.51
2	512x512	0	0		1399.94
3	512x512	0	0		1383.38
4	512x512	0	0		1387.31
5	512x512	0	0		1400.97
6	512x512	0	0		1407.69
7	512x512	0	0		1391.88
8	512x512	0	0		1392.38
9	512x512	0	0		1411.1

--------------------------- AVERAGES ---------------------------
TRIAL	SIZE	INST		CYCL			RUNTIME (ms)
ALL	512x512	0	0		1400.86
