Event Name,10000x500,10000x1000,10000x2000,50000x500,50000x1000,50000x2000
perf::PERF_COUNT_HW_CACHE_LL:WRITE:ACCESS,"166064,85367,71508,87569,66152,52689,151358701,89157433","376760,259738,167931,146297,44315764,89032731,44575845,407399030","777791,533016,403449,384281,302785,145166,44383398,180905477","694998,520337,409499,415745,310886,207738,92366387,425183046","2004823,1310023,947158,44842105,763439,469670,51215506,178834312","3938600,2009034,1494785,1491277,1138365,560100,94306737,267005468"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:MISS,"7979,15559,14280,9122,7547,5221,98761599,4198","9227,47114,33434,26852,24508,14466,281552048,89258813","10587,178975,113688,91629,72297,45758,53357,222972580","7337,15314,14543,9784,8914,5426,133881748,133627000","8277,53052,33796,26884,25754,1010094293,133474535,16736","56716,163831,141988,44228625,92136,3711303838,3748909810,311917104"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:ACCESS,"222896098,117041880,77210725,60419011,49617446,33597891,221392845,280134924","855115793,434188203,286835853,223612086,182082714,115189709,235050894,250601173","3347935952,1684357847,1123245522,847582564,690181062,483581984,491185439,620212066","1114143054,583707994,383413992,298239012,286866720,160197192,161716043,207686681","4274275463,2168965719,1431218549,1114110202,905325459,564889490,791285139,657270388","16734545033,8417878409,5611960362,4232906091,3581730533,3564081558,2188773855,2190320462"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:MISS,"1294,105445,112481,44228138,89712,44133,192680103,270859236","120453,288546,74209,137349,151288,49814,136211838,358036520","46734,326,1298,1017,230,46134223,8358,838580577","1083,444291,324506,44691646,206690073,96256881,96831999,90492572","9641,533,194753,936577184,221789,866,89437983,133883743","7743,999,735,490,725648,44178026,97292927,1892446382"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:ACCESS,"3658468,1883677,1249797,933179,790359,468792,240184610,267778280","9420240,4813988,3196051,186184001,1967365,1187767,289876399,325142484","27394149,13999471,9351856,6994499,51081383,3521961,944482146,136907825","18140034,9241056,55174447,4546857,3837926,2298445,91244549,271318417","46523200,23468548,15587767,11790560,9602089,5793197,145669688,5807369","134700496,67845043,45278681,33860805,27470587,156110121,154745032,17077324"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:MISS,"629,328,511,32,470,410,204354634,44531538","1628,666,390,150,455,134334570,304,133421980","228,1183,552,555,47057670,91513226,938386918,89078083","564,205,9,121,1162,96268666,44546496,184321633","704,4073,498,329,264,963901781,89021179,662865187","171,183,414,314,522,156,231994921,311619933"
CYCLE_ACTIVITY:CYCLES_L1D_MISS,"23397647,10552178,6796625,5625107,5433968,132366453,4811803,182520120","58852344,28319553,16210771,13284316,15236771,51006191,290072587,7086731","164296873,84419542,67662524,45622416,40823139,87860134,139158049,25803917","116629763,56857886,36485260,59614745,23742251,70204640,72046172,247159520","316790223,174457597,93826840,70834366,87219801,117386235,197206204,258620187","859460385,379108935,289696256,203345490,263261776,237657955,647747092,482148585"
CYCLE_ACTIVITY:CYCLES_L2_MISS,"10370945,4442361,3053151,2213471,1845675,86520946,159184673,269360161","24828406,11641059,6839802,4520590,5075390,138744262,184839239,321127870","59349282,29037213,21297301,14889823,11270461,59035998,481294613,545003814","54433175,25037352,15958835,25251670,55588980,8488736,195725489,375409546","131787014,68263995,38337695,23717308,75464393,1066202407,969931990,241142531","305346992,142180889,98383982,70547910,114944621,3753550438,383848715,212758882"
CYCLE_ACTIVITY:CYCLES_L3_MISS,"8038067,3506794,2262591,1680855,1265653,682004,202569722,272617780","18088125,8362197,5519646,4454071,3614408,1961195,281571265,135396095","46882422,24008312,15933331,55424114,53274516,9575296,161539402,361566752","43676588,21008898,12810210,20347378,6608527,150377109,185079380,185286001","100614344,52255016,29170762,19956374,70970056,18348133,248306010,234708712","242236394,112898529,78488226,99759042,100839660,215747101,172494958,202445109"
CYCLE_ACTIVITY:STALLS_L1D_MISS,"14046189,5982531,4188787,3122204,46990662,37863270,47465497,313853029","31230350,15089810,8709897,5705801,6029383,182639023,145262834,94197958","76128090,40707375,30546645,19612899,15144495,158820003,176322033,498365319","72842780,34070830,20984471,36681055,59245672,12909545,148611532,326828793","170236974,90181407,47836324,33055909,28016907,85394234,1101529173,107834349","414234767,181603824,136473626,92007486,115778258,98129623,168911852,132052591"
CYCLE_ACTIVITY:STALLS_L2_MISS,"8603434,3676748,2555205,2050931,1613752,748570,96486187,269523547","21153852,9034836,6012991,3588064,4260416,181713405,4339272,224628434","49422217,24440222,17672663,12228328,9200722,240664888,96117707,273259244","45456350,21841256,13419969,22209045,6992188,7522257,186721053,242247093","109282630,55036116,30547884,19806368,21378997,1236458823,113203907,457972075","257122667,118324741,4616745845,58847616,195226815,53836484,387532496,167652871"
CYCLE_ACTIVITY:STALLS_L3_MISS,"7392410,3213733,2102168,1674784,1164872,438483,277470015,585593168","17960909,8400972,4866078,4056905,3643099,1907766,188554244,275974982","43098596,21572181,14937709,10345588,8360123,8468479,1150323106,93889319","39350805,19036409,11710904,504510605,50039669,52916005,383193362,236942434","91652159,47392515,25372868,17590926,14307294,1003169751,107588972,99121252","222450067,100691377,71472517,50552582,2927419365,167178012,283884078,433570241"
RESOURCE_STALLS,"31249850,16498042,11050488,8440014,88660322,93303002,159574992,367297338","93169246,47166446,32157996,22713127,19571183,237255838,324907656,15701295","297066295,156758738,121437576,79886431,149539572,61038332,54307510,395359251","142135637,93826292,50182557,548896517,76421390,30372423,191350996,438260931","462628530,239953052,195551304,116858720,227854351,132273010,141847120,857581045","1452969977,690262571,490813176,359312565,345478082,316314003,595858075,433407371"
L2_RQSTS:ALL_DEMAND_DATA_RD,"1004577,455762,292203,237784,210371,187442,242951,179159","2934320,1395696,817214,816267,805090,360552,701311,364532","8947418,4755030,3721818,3462938,2842887,2199584,2155128,1566013","4670385,2267822,1393221,2395023,1065919,1179088,1232870,854971","15011095,7730286,5049810,3854454,4035356,3008920,3325315,1655578","46802251,20827824,17248836,13092091,16207573,13518446,13482359,10813988"
L2_RQSTS:DEMAND_DATA_RD_HIT,"822179,405246,261809,96123493,44319850,42626008,480909610,587521396","2505613,1285346,752571,809208,88994934,187942693,420945560,222019761","8381669,4469114,3383689,2771319,46870591,233511359,418493087,491016063","4152576,2042082,45379428,549369986,45176559,136921846,419162416,231098137","13319294,6711023,4609885,3619781,791225637,239052257,1338503321,404720875","43967489,19229847,15735931,12425149,105048331,11789118,345262209,9746577"
L2_RQSTS:DEMAND_DATA_RD_MISS,"177707,45934,31141,23259,22271,13984,16665,15945","429399,125838,61909,47761,75166,25320,51066,26306","547821,279845,347363,189491,88838,162942,136048,61380","517036,227975,156600,278063,101086,116117,120180,71667","1698221,992954,449895,222989,328728,273665,278971,119492","2813845,1606547,825686,732203,584697,270471,668052,290412"
L2_RQSTS:ALL_RFO,"924458,470969,310738,247459,212989,156100,164178,142475","1905380,917573,616752,489110,378527,279615,247565,291331","4033030,1970196,1306462,925757,782299,488158,509824,497985","4540611,2313130,1503118,1248657,1068297,761396,725248,716335","8998140,4385509,2892753,2379992,1778666,1326962,1408983,1372866","18158290,9126576,6096011,4335473,3603855,2682503,2296144,2611337"
L2_RQSTS:RFO_HIT,"766653,406350,245216,191447,164089,103407,107521,107109","1490032,767647,511395,389217,268601,196438,183281,192632","2928017,1618413,1013260,672467,632748,399302,396890,386906","3966758,1975269,1264128,919554,821774,551761,543828,520645","7299703,3457384,2292176,1905843,1227188,946256,984055,971637","14595145,7504382,4952013,3405277,2820465,1984115,1872986,1952593"
L2_RQSTS:RFO_MISS,"157955,52229,49630,60070,53022,137450088,477824054,581155300","416551,183364,108320,99935,47050708,100447,98596064,374553316","1106840,370798,291120,44355684,44300319,183110329,325313949,445206418","574677,323496,48695853,322438,231743,95454516,626349072,405758385","1695023,908436,538062,44605862,788798936,1276608193,185604393,838682168","3556624,1595076,89435761,928817,46668342,224299174,3824838181,312189879"
L2_RQSTS:ALL_CODE_RD,"19167,13211,12701,11082,9654,6719,6087,7310","40867,28972,19673,20087,19657,13351,11043,13800","97103,73129,53597,52797,47359,34019,27927,32434","88246,56027,49294,40031,49087,19889,18643,15663","196316,148479,97251,85313,73367,35688,46531,52221","503937,390388,234357,217186,208791,147283,100752,133935"
L2_RQSTS:CODE_RD_HIT,"198,301,747,799,972,867,1017,1406","254,254,275,579,697,796,1128,1284","429,439,521,816,589,989,1287,1381","368,447,689,458,2083,745,1502,2118","652,663,1259,826,595,870,1181,2118","1469,674,636,1016,1037,1658,1118,1573"
L2_RQSTS:CODE_RD_MISS,"19602,12736,10967,10133,9233,5831,5029,5500","41846,30978,18633,18633,19139,15677,11046,12789","99982,83472,50675,50719,44458,31003,24812,27076","85705,45157,50663,40060,33429,19309,44518,16359","208420,151961,93283,83710,76721,39883,47249,48435","503166,359960,226059,218129,223181,143436,99073,119230"
L2_RQSTS:ALL_PF,"52770704,27550072,17608762,58004371,11460067,8385381,6947558,275188799","208979116,104380277,63875113,96040538,45577128,114526456,352643908,377175644","838335586,407107803,279609916,202575134,563522972,164765383,361061788,418844280","268889714,136784877,326557574,82680234,148853894,132149841,220698746,398376582","1061611655,524244945,424501058,259542669,834551115,1278834903,1205954082,442932315","4271026688,2058249052,1451515496,1010283598,877930761,727684473,3886395809,782452708"
L2_RQSTS:PF_HIT,"45089698,25130548,16093055,12452322,132195111,50094216,249358264,325052117","175865198,92566515,58871411,47768413,196252614,344817683,172772328,464554928","723521242,407693806,235700092,175784892,150567153,952817658,1033857549,408631310","234935898,124798244,79377292,593793132,52809855,77002308,255491655,485973271","900673239,451209900,295243202,239785842,878685181,900338099,115757601,660012014","3744597928,1796867615,1354697473,943948199,832475397,474600664,4033028889,697756237"
