Event Name,10000x500,10000x1000,10000x2000,50000x500,50000x1000,50000x2000
perf::PERF_COUNT_HW_CACHE_LL:WRITE:MISS,"7145,11975,11551,7931,7135,5030,5062,4591","8305,46176,33188,26602,25212,17174,17213,17470","9686,159456,113479,90096,77400,48381,49329,49093","8001,15021,13226,10844,8991,6700,6514,6186","5988,46956,33388,26069,26075,18343,17992,17770","14913,163846,117610,132368,78321,50583,50916,49791"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:ACCESS,"222896096,117357244,77734833,61208380,50530520,36533772,39553911,42467200","855115801,434468899,287358882,224435204,183200886,117674483,120527162,123381341","3347935972,1684631199,1123764460,848407745,691262999,442233667,445111914,448013979","1114143047,583991977,383941765,299061429,244104657,162657686,165536823,168417000","4274275444,2169246088,1431744955,1114911264,906410868,567366710,570240187,573066158","16734545074,8418187184,5612487085,4233693720,3446066239,2189677908,2192630168,2195530852"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:MISS,"340009,263482,69157,182319,100616,144132,16605,16961","989,114,37085,200,134,301999,257240,144743","1206,242,316,191,410,448,950,42212","1117,440240,570393,195838,1115875,308680,660040,573952","1278,203660,292,269201,1439896,421876,247597,248612","6252,911,1201,1406,688780,536131,1955998,1962047"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:ACCESS,"3658468,1888121,1253021,923475,781069,467739,468837,468588","9420240,4803746,3197300,2412469,1970629,1186548,1186917,1187254","27394150,13996478,9345761,6990664,5673586,3521790,3522137,3522443","18140033,9231592,6125011,4553794,3837001,2297887,2298139,2298639","46523200,23461224,15578416,11787070,9599374,5793009,5793375,5793724","134700496,67835654,45267840,33850412,27466648,17062213,17062860,17062951"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:MISS,"767,154,4153,140,7075,51,93,100","212,140,163,120,59,165,144,150","183,55,313,68,269,392,219,414","440,114,386,129,266,298,107,297","469,64,305,210,96,300,954,348","381,168,6728,855,1284,225,505,4808"
CYCLE_ACTIVITY:CYCLES_L1D_MISS,"20830233,9566729,7397044,4886453,4643978,3523777,4082023,4107253","63341546,31274156,16154272,14442455,13739092,7440056,7376190,7301458","162761908,75917820,59477388,41449823,42150100,26250388,30457576,24631832","139164708,60922724,35959813,27492061,26310587,18546397,20368542,19826251","267158229,152341942,87702921,70276073,68168540,38355227,34403954,31810148","964389064,399567516,266410993,217624465,206801004,116677086,142012873,137929969"
CYCLE_ACTIVITY:CYCLES_L2_MISS,"8988091,3873491,3152026,2174434,1632873,1256552,1193191,1210826","25997503,11955442,6597594,5327627,4911553,2667142,2898171,2727347","56285901,29670453,20773011,13772008,12322860,6541411,6921598,6420306","61551613,25886976,17724935,11607460,9805288,6426180,5972442,6205886","118842763,65364259,37439272,25472080,24139054,12156865,12408188,11947249","323794197,142851698,94175893,72246957,63664428,31158142,32830259,32280008"
CYCLE_ACTIVITY:CYCLES_L3_MISS,"7200347,3232611,2338698,1483361,1237312,929383,887015,880099","19159830,9216595,5138802,4383793,3737639,2349989,2210755,2206722","44206341,24231087,14882034,11023423,9320250,5974143,5710931,5616851","45381397,21935042,13450212,9588738,7409488,4874368,4814607,5031312","95997707,49841558,29189743,21179287,18313485,9711119,10171501,9613329","230122340,116502770,74664970,57759867,46647820,26572781,27064938,26400329"
CYCLE_ACTIVITY:STALLS_L1D_MISS,"11938621,5239382,4053805,2500039,2353037,2048869,1719962,1784501","32108677,15850827,8686654,7226743,6064584,3869146,3341480,3731212","69908143,38584818,24950772,17467973,16968506,9585487,9663992,9738124","76031079,35211306,21793370,15638276,12750016,8797019,8780634,8756684","145674575,75649000,46450331,34513077,29912825,17732502,17669155,16084348","399069303,191753535,119563429,97968517,85802516,46762781,47102655,45512934"
CYCLE_ACTIVITY:STALLS_L2_MISS,"7438211,3190922,2473536,1526860,1309517,949308,1031417,913498","21507370,10111489,5493519,4489434,3720029,2196686,2178137,2209165","47818916,25495313,16304047,11427364,10157812,5682222,5493366,5569250","49893646,19983773,13561689,9669658,7634309,4941015,4815825,4801537","98623876,47741253,30637449,21502510,19435926,9887622,9803493,9874480","254984253,126674868,77641895,61130240,51686115,25658965,27507667,25829246"
CYCLE_ACTIVITY:STALLS_L3_MISS,"6328603,2822539,2119328,1349470,1106655,809359,755536,897155","17433205,8445125,4719818,3868607,3331091,1920014,2041936,2037079","41825992,21149290,13476785,9880522,8323966,5062315,5122191,5031221","40068472,17956218,11650740,8432095,6563360,4873891,3831210,4837979","86134329,40336247,26318753,19440301,16537270,8533021,8836812,8740735","208291782,110161814,67336584,51534015,40199663,21796970,24369038,23825103"
RESOURCE_STALLS,"31390485,16560869,10462116,7844429,7015137,5578883,4887846,5096342","94877781,47301206,28431136,22939226,19310912,12964183,14824090,13748650","284655241,143667422,93828609,71643299,66536813,38858729,38701673,41704993","164391730,83545938,54976000,39505579,35654625,23677884,29979514,26861535","393350873,224414118,139908931,109777162,103840803,62221416,59913919,51167096","1528682460,736314144,463619512,367781883,313875389,188765020,206419586,204558639"
L2_RQSTS:ALL_DEMAND_DATA_RD,"974601,449861,328566,265518,223753,148393,149339,156017","3043496,1432321,783925,746393,597082,384012,405492,368685","9116577,4469903,3324587,2363403,2586585,1572370,2053501,1635282","5755052,2279578,1385117,1187569,1444807,746570,900159,989379","12516169,7150254,4409220,3580423,3466553,2131140,1708529,1644856","50500247,21817965,13927203,13611784,13771644,7664105,9155013,9162296"
