Event Name,10000x500,10000x1000,10000x2000,50000x500,50000x1000,50000x2000
L2_RQSTS:ALL_CODE_RD,"235,308,349,479,485,759,1190,1299","231,275,356,363,587,831,1017,1165","237,292,385,425,632,949,1062,1244","252,248,356,436,527,729,1103,1151","224,270,381,427,573,826,1119,1288","217,285,421,497,619,995,1268,1285"
L2_RQSTS:CODE_RD_HIT,"240,311,362,454,533,769,1122,1310","230,270,393,348,582,829,1047,1152","237,272,369,444,614,949,1056,1240","251,250,360,463,514,724,1100,1129","227,273,396,435,563,812,1076,1290","216,291,401,498,658,975,1161,1348"
L2_RQSTS:CODE_RD_MISS,"0,0,10,4,1,15,1,8","0,0,0,0,0,0,2,4","0,0,0,1,0,0,7,15","0,0,2,0,0,2,1,3","0,0,0,0,1,1,1,10","0,0,0,0,0,2,2,5"
L2_RQSTS:ALL_PF,"3,682,3230,1854,135,2428,8816,15455","5,294,1539,1767,2403,3075,11866,21994","5,834,1178,460,2823,3222,13581,23942","3,17,640,1829,105,6588,19278,16441","5,42,542,2950,1719,245,12645,20934","4,863,988,2830,1335,7279,10154,423"
L2_RQSTS:PF_HIT,"2,5,3849,2427,761,3066,26149,7888","9,28,275,2757,51,11575,6347,10271","3,59,871,2516,2510,6269,15374,20888","2,12,1311,1577,1898,3134,25238,98","7,14,214,6017,845,7737,13617,6956","3,641,771,621,1516,96,6492,15065"
L2_RQSTS:PF_MISS,"1,9,6,85,73,187,202,181","0,27,24,4,92,158,171,188","1,24,13,15,92,213,247,238","1,7,4,77,66,130,217,232","1,24,24,9,87,173,164,163","1,19,17,11,76,205,268,227"
L2_RQSTS:ALL_DEMAND_REFERENCES,"326,408,490,630,718,1233,1623,1972","385,442,595,645,883,1370,1568,1862","508,583,733,801,1069,1473,1787,2130","346,377,497,658,690,1140,1624,1812","377,463,557,614,865,1369,1788,2027","497,586,765,888,1097,1564,1954,2135"
L2_RQSTS:ALL_DEMAND_MISS,"0,19,4091,2813,2035,7580,18854,19939","0,448,1041,47,1247,7672,1798,21544","1,742,940,216,2891,9823,11947,20623","0,18,516,1215,813,4603,13708,15832","0,29,620,6130,3198,5797,8722,8779","1,714,44,2416,3459,9901,21201,30122"
L2_RQSTS:REFERENCES,"333,1010,3522,2177,2684,8577,10806,25482","395,932,1527,10449,5255,8071,18437,17646","536,1449,2538,4089,3136,1848,11535,30355","351,416,536,1877,3688,3514,10847,10833","392,1142,1076,7125,2934,3608,13421,24270","527,1013,1749,1729,5267,5184,20851,14851"
L2_RQSTS:MISS,"0,484,2122,1666,3302,6304,9209,11956","1,54,899,6377,4346,11931,14752,17255","0,58,655,1796,1795,5421,24827,28646","1,30,1036,1769,2049,7040,12457,16896","0,712,1093,2826,2751,7645,18007,56266","1,727,1362,905,181,6085,20396,33406"
OFFCORE_RESPONSE_0:DMND_DATA_RD:ANY_RESPONSE,"0,7,4318,37,2415,5489,9413,15986","0,608,675,6731,52,6226,17585,5807","0,736,985,847,1758,11870,7118,22402","0,1535,690,36,2530,7529,9421,11796","0,11,17,3323,2852,6011,11102,12254","0,790,1737,1843,3424,6537,10541,4401"
OFFCORE_RESPONSE_0:DMND_RFO:ANY_RESPONSE,"0,11,1839,30,2351,6721,8230,21274","1,596,724,7337,10750,10279,14745,7984","0,286,1014,2997,3389,12818,6314,18312","0,9,604,703,1482,4977,10850,13117","1,684,312,2204,2754,4005,6883,8148","0,808,337,17,7199,3312,87,5459"
OFFCORE_RESPONSE_0:DMND_CODE_RD:ANY_RESPONSE,"0,0,4376,1367,3536,2837,8521,18831","0,0,627,9113,4987,9178,1324,31999","0,265,1608,1262,1572,8045,4252,3965","0,0,730,2536,2542,3718,11945,11426","0,570,1389,1030,875,8591,5902,21267","0,265,801,1730,4,9906,14700,10531"
OFFCORE_RESPONSE_0:PF_L2_DATA_RD:ANY_RESPONSE,"0,1,4409,647,10685,8123,8360,4010","0,5,1460,2026,9883,8699,12036,20446","0,3,3920,3670,3968,10582,16363,22751","0,2269,1276,317,1834,3695,6731,2157","0,572,1651,908,1967,7059,9894,12594","0,254,1138,2189,2609,5401,22738,15770"
OFFCORE_RESPONSE_0:PF_L2_RFO:ANY_RESPONSE,"0,229,1056,1705,7008,9492,5826,141","0,760,1389,1975,5392,5032,10582,151","0,267,3574,1556,3466,148,159,13955","0,9,1001,979,1700,5042,14040,12142","1,21,670,3323,15421,8506,10340,21417","0,247,15456,2766,4007,7369,15732,12115"
OFFCORE_RESPONSE_0:PF_L1D_AND_SW:ANY_RESPONSE,"0,229,1279,791,2610,6488,5685,5911","0,639,341,681,2245,5289,16352,19871","0,727,0,1,0,9101,17423,14745","0,606,0,1605,1850,6647,16023,8219","0,571,0,358,13927,7711,16594,21642","0,250,2344,0,15263,6110,8512,13806"
RUNTIME,"0.00100633,0.00150358,0.00193312,0.00232708,0.00282147,0.00642507,0.0127829,0.0259296","0.00124199,0.00164822,0.00212364,0.00267573,0.0029695,0.00642231,0.0127511,0.0185779","0.00103734,0.00172168,0.0023792,0.00258177,0.00290612,0.00629497,0.0152062,0.020704","0.00106165,0.00195758,0.00176828,0.0022362,0.00267662,0.00632233,0.0153161,0.0299156","0.00103514,0.00198641,0.00215801,0.00269918,0.00289219,0.00657768,0.0131815,0.0223733","0.00106786,0.00173165,0.0019683,0.00237995,0.0031655,0.00625678,0.0183053,0.0222403"
