Metric,false,master,close,spread
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:MISS,"1670,1382,2185,1179,15191,46055832,93938984,1893","2729,1180,4980,2777,2650,14701,2152,2021","2687,15243,3178,5297,3307,44295432,89073152,177525952","3743,2521,25298,4376,866,3487,3737,313977920"
CYCLE_ACTIVITY:CYCLES_L1D_MISS,"1590860928,836032832,781859968,631590464,549289984,435865472,494901984,535667776","1527516416,798160576,1101230720,637622720,549328448,421032416,422164000,441978112","1538023552,782775040,697398976,732267392,534587648,533006816,776836864,745598912","1531323776,806009600,659368576,605587200,561551552,508133856,775390144,1184494208"
CYCLE_ACTIVITY:CYCLES_L2_MISS,"1169132160,528314976,439701888,318390784,329591776,279072896,410630656,271024928","1183734656,544034752,677688000,334326880,294773376,227890016,227973680,229155472","1198763648,542749952,358946176,358827712,366407232,306600416,286755936,847063168","1154773632,538280640,367262496,338302400,329903488,272504416,540549760,391781088"
CYCLE_ACTIVITY:CYCLES_L3_MISS,"107549288,70702272,86813944,69047400,81376248,96082208,320437056,160109216","93881312,75326120,95206664,55830912,54211568,51483992,50291540,79044496","99232456,96898064,60624736,59434240,69428648,235511600,844912192,89121024","90824240,90201024,71197480,78987048,90601144,44267328,1384940416,973001984"
CYCLE_ACTIVITY:STALLS_L1D_MISS,"811428544,397526528,416231488,288750240,245638640,214008736,199043584,199738896","814687680,387209376,710297472,288913472,259179024,204490336,208160608,217574240","841734144,384038656,300034560,264507408,231162416,249797488,198072208,453869440","779700864,419121504,367273088,262173088,261218544,896209984,478364896,930294784"
CYCLE_ACTIVITY:STALLS_L2_MISS,"692563520,335685440,285484832,187526096,205889552,165308864,202057440,250116816","714890496,311476928,498362784,213369856,194637856,149926128,153682016,153108144","727710080,316605728,275653824,243281712,223455888,170452096,422405376,544735168","673548416,310342368,223289616,230230336,182330144,152958048,1339422208,323093792"
CYCLE_ACTIVITY:STALLS_L3_MISS,"143921872,60077584,78108136,61542120,70685296,43613064,141930848,975304448","69001000,62744360,87049160,45456888,73244336,42069076,40999924,41419812","100723288,55233576,48679180,114678256,120903712,180087888,237019120,1016853504","101067768,64295656,62966088,63086296,48979816,36187224,188917600,81964504"
RESOURCE_STALLS,"1413269632,736004224,691669056,583196032,476723616,530481792,555249216,691853440","1355868032,717284032,903595008,574155200,530101792,430004064,439530144,431891040","1376654976,750862016,625883200,584148928,510826464,476438304,642043008,794718464","1345823232,730112064,606708032,1003246592,579676352,506626048,522749472,761253312"
L2_RQSTS:ALL_DEMAND_DATA_RD,"163390048,83764264,65947964,60344444,54023660,41676572,41061312,41203872","172847504,84622856,73538640,59671296,52832304,40970672,41056568,41240656","172411072,83847616,67941096,60617248,53106940,41284992,41182160,41367468","172242016,84558592,67681728,59810196,53761480,41968216,41095548,41293044"
L2_RQSTS:DEMAND_DATA_RD_HIT,"64796120,51587184,49859808,1100628096,86645696,34942496,174730560,254796064","60413580,50717768,51696024,46831220,42250280,34296084,34355472,34380412","60442728,50770208,1175165184,46738468,176650304,1039915008,878635008,348834752","60742044,50980896,49825632,1100435712,948664064,775916800,31526308,434632224"
L2_RQSTS:DEMAND_DATA_RD_MISS,"98399152,32996734,15486355,13572663,11110720,6758583,6651017,8983741","112463344,33953940,21686594,12846883,11076504,6686144,6714709,6819238","110638088,34006916,14740457,13783471,10723907,6867756,6854564,6753114","111567056,33714044,17871356,12898346,10728404,6923414,9450205,6753244"
L2_RQSTS:ALL_RFO,"28436978,18339898,14639721,13013432,12044654,10598733,10495886,10508112","28405046,18308108,14224807,13003808,11987924,10554442,10590151,10586436","28457920,18325276,14804490,12923572,11923016,10547084,10512141,10587820","28007776,18355276,14757159,13008741,12120446,10658653,10174973,10518955"
L2_RQSTS:RFO_HIT,"23084170,13731229,10341829,8906767,8017412,6715371,6646225,6387019","22862862,13559787,9608371,8895866,7995942,6672385,6629923,6607792","23254190,13574821,10425090,8835056,7926920,6653000,6688942,6672380","22574672,13721669,10397125,8867094,7975048,6734954,6664362,6692052"
L2_RQSTS:RFO_MISS,"5304408,1470955392,4393579,4074626,1050109376,50321472,323001984,315322048","5582885,4748430,4602416,4091694,4069176,3866780,3930158,3943225","5081094,4678383,51734660,4154662,936098752,48029432,925452800,181172560","5410052,4708052,1233081728,4109767,984608960,94054064,233208512,3838454"
L2_RQSTS:ALL_CODE_RD,"315877,402592,391880,366272,345044,343282,347560,380581","309069,385777,469829,361216,343094,338525,354314,341598","313235,407847,396237,366078,342737,361553,371387,350428","315778,398789,409828,365120,354082,343055,401704,344776"
L2_RQSTS:CODE_RD_HIT,"19745,80852,85758,87788,91126,108761,111266,117921","21357,74290,117800,86370,87940,103016,107094,105466","21977,77167,91416,101271,109618,124658,115852,111067","20507,82472,94585,89447,102596,108101,187749,107197"
L2_RQSTS:CODE_RD_MISS,"296677,323009,302527,274948,257933,236652,242350,233284","289254,310381,354253,271771,250086,237987,246242,239328","299568,319064,297099,276411,245504,245576,254617,241509","294130,318291,292303,274708,258760,236088,257993,236229"
L2_RQSTS:ALL_PF,"424430368,1512633344,195845696,156075760,128977496,132158880,592373120,399469568","394536544,255042352,193621984,158864272,130084256,88508600,88565512,88310976","398330528,253814224,192012464,155358992,129712304,895349888,1099235712,1070300992","395628512,256883856,194242272,156596704,262060752,88283776,1475145088,1227302912"
L2_RQSTS:PF_HIT,"314404672,175060464,128625504,149089088,86702112,798004672,289818624,239640720","302445152,174386016,120284720,106261520,87401288,60793632,60737660,60954228","304971392,175657600,127205256,104523984,982398016,195466688,202469568,196884704","298372672,175179136,127734256,104931584,86643104,105741344,59605168,1001951168"
L2_RQSTS:PF_MISS,"110567512,81741544,67004040,51419824,42725912,27548688,27372806,27783312","92280016,80441144,73063312,52486304,42743644,27698708,27599612,27354686","91122720,80454096,64604780,51169728,42911760,27509152,30360834,27489312","97881848,81009264,65011176,53421868,43517984,27263896,30792672,27464034"
L2_RQSTS:ALL_DEMAND_REFERENCES,"192244160,102739008,81606384,73608880,65322392,52693724,51987716,51871192","201550576,103473216,88193760,73051288,65505228,51937096,51996136,52135408","198985520,103505184,83302496,73776312,65654440,52104776,52093008,52191872","200593808,102931216,82626776,73644696,66340560,52985480,52365280,52084372"
L2_RQSTS:ALL_DEMAND_MISS,"104315688,37345584,20418008,17561736,103755384,806161344,423971328,235717008","118123368,39139344,26419512,17241224,15400057,10774794,10891515,11024084","117963168,39037960,22622800,106576664,951644352,10840473,921444736,1050382912","117274192,38556248,22539950,149640288,931623168,55168800,462469440,280746944"
L2_RQSTS:REFERENCES,"617306432,404664736,277037152,229326880,1012606528,277263104,374791200,362833952","596953984,358625440,281532544,231673296,195578928,140550720,140745472,140526752","597079744,358245088,1213861504,229513552,239046432,184456608,412491872,718364288","595958336,1479776512,1233777536,230981152,194503616,231407680,1442437888,495950880"
L2_RQSTS:MISS,"213785248,119634752,87673568,1061912896,102012128,174323168,230192352,175096016","210674464,119600688,99377120,69639144,58178144,38553580,38568552,38304468","209054400,119442472,87057040,69241576,149106752,921344256,177926368,351552704","214956496,119430336,87435632,113797968,58089528,766789824,403998720,1002365952"
OFFCORE_RESPONSE_0:DMND_DATA_RD:ANY_RESPONSE,"108747504,1543076864,1301222912,1122366336,936454912,1149392512,141025856,1289214592","114458912,40828736,25128150,15664059,13300337,7815666,7884609,7955356","114790912,40829396,116718880,16509049,1057914304,1009688064,452366624,633725056","114035920,1475003904,1221066624,1121366656,1079474816,1094214528,377754016,452630432"
OFFCORE_RESPONSE_0:DMND_RFO:ANY_RESPONSE,"4927638,1490945280,1290985728,92116760,1056028864,1060689920,1155488896,1466595456","4973512,4589256,4249540,3885619,3857970,3671220,3693999,3719730","4619568,4560971,4246805,1090958080,3854691,3588337,47915284,1359916160","4977502,48665396,1231529088,1122264192,94107744,95257152,1490551296,1169403520"
OFFCORE_RESPONSE_0:DMND_CODE_RD:ANY_RESPONSE,"312253,1472462464,1245269632,88530984,44368764,92100848,785715456,1362175744","288199,308382,356387,268315,245969,237669,247132,237096","303139,321896,45931392,1184237824,1069524416,88799344,1360814848,1007115392","305459,1523720192,1216109056,1071757120,88504232,1137965696,407917696,400717984"
OFFCORE_RESPONSE_0:PF_L2_DATA_RD:ANY_RESPONSE,"76156608,1567723264,90056592,1088200320,1070585664,1105866624,475466592,1356984960","68411864,56900616,50535752,37129720,28940624,16714747,16403535,16320473","67678040,56761404,94580848,1043116608,119256248,1055398848,1054435456,597344000","71969968,1492901120,1204210432,1077158656,1068130752,1086834944,1725641216,1407498624"
OFFCORE_RESPONSE_0:PF_L2_RFO:ANY_RESPONSE,"6701869,1490861568,50937568,1067504064,1056400448,1122365440,1354829184,6032973","5175324,6634731,6360940,6382290,6226930,6002104,6144549,5936405","4406658,6377488,1166086912,1076659712,6001638,139229552,1283837184,1330498560","5416775,1492564224,50442920,138504976,94733256,188247280,1810649216,6021234"
OFFCORE_RESPONSE_0:PF_L1D_AND_SW:ANY_RESPONSE,"15249639,1473258496,7031422,1047878144,136765616,1105562624,1222190976,1181726464","16300920,10002937,13359313,5341828,4541410,3235501,3267195,3290710","16356045,9764792,96596536,49493404,928929856,1154517376,1248523776,491561728","17620312,1510074240,1223873536,1071933312,183589136,231444480,1676312704,1003615872"
RUNTIME,"40.687,25.151,21.11,18.821,17.403,14.301,15.641,14.622","37.847,24.459,32.942,19.179,19.079,16.572,19.784,23.238","38.383,24.719,20.422,18.685,17.493,16.59,17.293,14.219","39.664,25.177,20.712,19.054,18.271,15.867,20.434,14.606"
