Event Name,10000x500,10000x1000,10000x2000,50000x500,50000x1000,50000x2000
perf::PERF_COUNT_HW_CACHE_LL:WRITE:ACCESS,"39854,39875,39213888,38889,40425,37251,35811","78987,79185,349704896,79139,76671,251091408,68931","158591,159397,462514528,159117,156661,148519,145201","284740320,572075904,684938048,199210,183792,192150,170857","391381,285239744,336822,395179,369747,384876,332753","1135589248,1703972864,793371,2530804224,2702208256,771837,653351"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:MISS,"7319,8539,58648276,6283,6791,128671256,11468","20016,56987400,348241984,16702,18795,252865744,32530","43892,48783,462718912,38206,40407,54993,64323","284619584,428969696,587015168,48740,68645,51427,82079","567496256,854152256,774649920,102431,140311,106418,1915257856","1134750208,2270825728,212290,297266,386715,215340,1923132032"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:ACCESS,"1678196608,1654616832,1688527744,1654440320,1654447104,1654824192,1654609536","3353200384,3425576960,3572182528,3305560064,3305566720,3448694016,3305796096","6607905280,6608007680,6652633600,6607823360,6607789056,6608018432,6608282624","8272361984,8272849408,8612489216,8272049664,8272193024,8272079872,8272036864","16527930368,16767535104,16973296640,16527611904,17244442624,16527661056,16527927296","33039177728,33039405056,33038673920,34467500032,34142666752,33038848000,35212636160"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:MISS,"28,28640864,156246496,10,45,467,192625248","31,57093140,116291776,26,43,827,384477248","60,340558464,231354032,20,28,1427,384559456","356,142974208,880912384,27,4401,62,4928","91,569157376,1355493760,74,6394,84,9456","2270612736,1135594624,179,9981,770521216,345,3825940992"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:ACCESS,"1257519872,1273548672,1297552640,1257519232,1257519104,1428823040,1257519616","2512527872,2576058368,2591221248,2512527104,2512527104,2622052864,2642008832","5022543872,5149096960,5230599168,5022542848,5022542848,5360186880,5022543360","6287559680,6367846912,6619191808,6287559168,6287559680,6287559168,6287559680","12562568192,12880761856,12824400896,12562567168,13410462720,12562567168,13211107328","25745250304,25429225472,25112582144,26788794368,26415648768,25112582144,25112584192"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:MISS,"559,57175916,78194032,2004,538,126799408,441","947,284868832,116363152,2901,957,193210016,764","1778,1777,154169856,1734,1758,1414,1410","830,799,489024320,2748,641830976,807,961582208","2876,853913856,968699584,2773,2372,2805,962992768","3077,1135199872,4873,2403965952,772176256,2967,2847"
CYCLE_ACTIVITY:CYCLES_L1D_MISS,"113907352,307958,156459952,128643,321444,185411,244512","113888808,114209664,311030752,223399,231076,372554,385154624","813786,227824896,463743488,426264,501446,759698,1170482","466599,292676928,99162472,454560,642987392,499109,1025201","1160735,570433984,1164420992,839300,1639533,904935,964756288","3406758400,1137392384,1645477,4297574912,4840674,2740399,3829796096"
CYCLE_ACTIVITY:CYCLES_L2_MISS,"56953720,86096056,117680104,97008,246754,102263,138678","113688080,288725,77981232,157402,283708352,193669760,192412224","612869,454687648,154948480,282315,353234,468616,1154681088","353628,577541,392031744,339236,456386,394655,590561","1135805952,1139387648,388814496,638705,1019173,713426,963993216","1887932,1136753920,1304837,1895527424,3863057920,2046239,5751844352"
CYCLE_ACTIVITY:CYCLES_L3_MISS,"18631,143134944,58807480,28446,14690,18468,29194","340525632,170753936,38927736,39454,25947,38729,50422","453623136,226913104,77391616,37303,51865,505595744,100381","854005568,74475,880207360,48303,54330,49429,105273","1703075840,1423167104,387710688,84031,1266880640,106192,160184","1135039872,1135512320,148456,2531361536,1541477504,2832409088,1923333888"
CYCLE_ACTIVITY:STALLS_L1D_MISS,"56921608,248130,137020240,69983,212586,99051664,152025","144229,114275136,271874048,115604,122006,207670,192502688","437002,795389312,77985456,197954,566957184,442359,734868","284905504,143564160,489966592,234907,642447296,298944,633993","568258112,854702912,389008160,476134,1268124928,549501,964012928","1136553472,1569024,925386,1894391424,2703954944,1634168,1925048064"
CYCLE_ACTIVITY:STALLS_L2_MISS,"170643552,28895696,396030,60304,167453,68544,95799","113702616,171129696,194050656,93545,94686,193341632,384890176","360513,113909160,771703552,151333,210105,282488,549990","284751936,407203,881583104,185269,282497,233126,481149856","490805,285100000,1163167488,339673,1268077952,1417225856,952408384","1136214528,568741760,662389,2559058688,388275008,1218731,1924226048"
CYCLE_ACTIVITY:STALLS_L3_MISS,"15934,114604944,117265752,26593,13122,128531264,26430","227157024,48852,193811200,33870,23777,33214,192272032","35364,568054720,462805824,32551,41458,505633600,93939","569354880,858201984,293488512,42164,48559,40058,480924064","68337,569150080,1356213504,69994,100878,84718,963336896","2269154560,5108238848,125185,1893198208,2311837184,2832491776,1903410176"
RESOURCE_STALLS,"1039728768,1058915328,973953856,1002585280,1093971584,820990848,757659520","2078026752,2079671552,1564191104,2002625792,2004423296,1695533440,1831348992","4301395456,4231707392,3624618496,4005210624,4372384768,3265448448,3041397504","5571363840,5392227328,4532073472,5013940224,4317288448,5015847936,3863194112","10762822656,10401534976,8442443264,10024343552,8349185536,10939072512,9105895424","20057057280,21522880512,20052195328,17341243392,18136248320,21868486656,18275127296"
L2_RQSTS:ALL_DEMAND_DATA_RD,"8269,8995,19495,7815,9180,15825,20404","16196,16431,38091,14694,14887,29385,37176","35943,31591,73032,29646,31642,58743,74453","26731,28220,80665,24579,65159,25663,79585","54894,52489,171352,50956,125454,49947,165596","108390,110092,99797,193396,320406,108825,319279"
L2_RQSTS:DEMAND_DATA_RD_HIT,"56876660,143101968,58710904,6293,6822,14319,192410640","13472,227673696,193676832,11991,283525760,256396464,34819","453542304,454265184,1080129408,24327,26458,53456,384891616","1138316032,286085824,489533760,18442,58283,709095872,73506","568031872,1138543360,1356296064,38645,112771,1416893184,963066048","3403232256,1703927808,73969,1892947712,769218752,81693,1923194240"
L2_RQSTS:DEMAND_DATA_RD_MISS,"1547,1934,2232,1505,2381,1266,1197","2792,3079,3006,2767,2738,2495,2051","8058,5686,5634,5227,5267,5118,6027","6443,7412,7078,6249,6198,6561,5705","13967,13204,12201,12540,12738,12851,10755","30975,27972,25575,23025,27396,28242,20371"
L2_RQSTS:ALL_RFO,"1237085,1238084,1248006,1203183,1237310,1243151,1247026","2473299,2474372,2496060,2440301,2471774,2486393,2495041","4946395,4946226,4989114,4943279,4942591,4973087,4987667","6210378,6210974,6261997,6175245,6245710,6205805,6260795","12386279,12389681,12491782,12380242,12456437,12384723,12492658","24810440,24809756,24760064,24939312,25011182,24794954,25011284"
L2_RQSTS:RFO_HIT,"1197121,1198345,1213539,1164188,1197050,1206200,1211379","2394200,2395085,2425650,2362174,2394905,2414144,2426484","4788130,4787718,4848402,4781397,4787007,4825249,4842525","6014466,6015025,6089518,5977330,6063913,6013767,6090878","11993841,11998253,12157334,11983944,12090282,11998835,12156170","24021700,24026664,23966604,24211616,24330848,24026112,24362190"
L2_RQSTS:RFO_MISS,"114130584,171787888,215460128,38816,141855584,129854016,192688784","340587360,285094368,348893664,78897,76413,251825072,192399248","453626176,227265664,771940608,158626,567161984,148949,769731648","853835776,715473728,783273344,198979,642262016,191740,961797952","391672,1708446464,1937103104,395434,1266890624,1417220864,335345","3403701760,2840169216,794736,2558751488,772800192,769235,1923597952"
L2_RQSTS:ALL_CODE_RD,"32464,33024,29597,33027,30328,27288,23991","56417,57433,47650,61055,55536,52333,48551","108951,110230,81421,116160,118682,102281,90779","131695,129679,92260,136728,113551,130279,103829","245400,246509,176053,276301,231041,244583,215448","489031,492002,522389,483513,339047,518028,437620"
L2_RQSTS:CODE_RD_HIT,"27634,27043,23579,27196,25065,23482,20526","49505,48730,38477,52906,48549,45421,42304","94413,92262,65736,100478,97636,88865,80033","109807,109850,72498,117386,94596,107559,86680","207430,205153,140668,236891,210390,201360,184204","419029,405445,453205,422448,268794,451560,366900"
L2_RQSTS:CODE_RD_MISS,"4852,5371,6412,4204,4399,4038,3545","8314,9167,8988,7516,7700,7728,6565","15138,18161,15358,14349,14908,13702,12837","20153,21325,20557,18601,18316,20462,15830","37120,41552,36990,40327,34691,39004,32625","74296,87966,72632,68591,68095,73782,64479"
L2_RQSTS:ALL_PF,"114979816,229616944,177289024,1168463,142913760,1220682,1230811","115884880,173213792,312170976,2367476,2398856,257065392,2466962","911854400,345293728,930432640,4799249,571301440,4879745,773798848","859388800,1007053312,495442112,5996311,647808704,6043146,967449280","579372672,296619808,1754520576,12031190,1277450496,12046694,974899520","3426112000,2293491200,24076384,2554439936,3885402624,2855294208,24742300"
L2_RQSTS:PF_HIT,"170666064,28581204,214742096,27309,32808,28431,96466704","113614744,341845504,271301056,55683,283528288,256073424,54434","453634144,454477568,617014848,112201,123125,505267808,769226112","141658,143205648,1272153472,140136,642061760,147731,135483","2270617600,1138887808,1936895744,278052,1265543040,283439,963069568","1135066112,2838691584,577031,2530585856,549238,568353,1923397248"
L2_RQSTS:PF_MISS,"1176137,1178972,1209456,1140703,1175020,1192257,1202296","2350220,2353607,2413480,2312798,2341577,2382133,2412996","4710360,4700073,4822212,4687555,4691227,4769506,4813873","5898903,5904778,6055047,5855610,5991249,5895519,6051050","11765687,11767668,12088716,11751955,11956178,11762214,12084068","23579572,23561982,23498068,23972972,24188500,23574366,24199472"
L2_RQSTS:ALL_DEMAND_REFERENCES,"1276545,1279023,1297789,1242361,1277267,1286458,1291473","2546575,2548675,2579575,2516606,2542660,2568602,2580414","5092814,5087671,5144161,5091897,5084958,5133599,5154080","6366235,6365078,6435765,6342067,6423772,6357199,6441625","12695081,12689692,12835914,12704705,12808168,12683212,12876454","25399936,25407658,25389164,25602276,25671064,25441388,25767804"
L2_RQSTS:ALL_DEMAND_MISS,"56897560,143277520,234699616,44656,46673,41980,40774","340812352,227857376,271327840,89183,283544448,84506,77267","181878,454897088,308954624,178040,566856896,382384768,162851","569372096,715369856,880632832,223643,642503936,709361856,480943168","1135968896,1708001536,1743762432,448412,406582,1417277568,963345024","3404890112,3406690560,893784,2403465728,5013984256,875741,3827111424"
L2_RQSTS:REFERENCES,"2481897,59649080,236973488,2411062,2485154,2508146,2522984","345265760,118795048,237336544,4884027,288217536,5008485,197362496","9915352,577322624,626949568,9884873,576162816,10015026,394720608","296652352,440982592,795107968,12332926,654076800,12404038,12630482","24744076,1446846464,2153291520,24737616,1304304768,1444549376,25222132","2316315904,5154706944,49464152,50202652,3132406528,49561016,1972245504"
L2_RQSTS:MISS,"58046328,144235824,137975584,1185468,142940400,129792872,1242777","2441283,344007616,273936544,2401421,285753408,447461216,2490611","4891071,345476352,853531328,4866218,4867278,509884256,773822208","290652736,577946240,984257664,6081606,6196125,714863488,6242453","580059520,865780096,1949152640,12199466,1291416064,1428120448,975051968","1161187072,2294401536,24394930,2554786816,5037675008,2856002560,3869671424"
OFFCORE_RESPONSE_0:DMND_DATA_RD:ANY_RESPONSE,"114092288,200209312,136481504,1593,141892016,126745456,1382","453966400,170732400,232668368,2791,2810,252358112,576814272","226823648,908800320,925756608,5388,5582,887337344,384231616","853844288,1001274688,1174169472,6606,641773632,709122816,1442307840","1703295104,2562001920,1742919040,13125,1279303040,13173,1914806656","3405645056,4541074432,26651,1893296384,3085270528,2832680448,1922849152"
OFFCORE_RESPONSE_0:DMND_RFO:ANY_RESPONSE,"227785376,257483520,195573792,39091,141947168,37266,192685280","227458912,512772512,581043008,78457,283584768,449274816,70164","680702528,568559104,1312410880,159046,566917248,505328480,384761760","1138304512,1287166720,1467952768,199592,607361024,192249,961776512","1703074048,2277100032,387434688,395021,1267771136,1417121536,1915119616","3402045952,5110929408,795681,2452533760,681561,2833312512,3827429376"
OFFCORE_RESPONSE_0:DMND_CODE_RD:ANY_RESPONSE,"4736,228963120,215158272,4682,141810144,227565520,96435840","454174272,512575072,309858272,7543,283556288,258495408,577154880","906944640,1022579328,1078901760,14274,566729856,13860,769604928","853665664,1144267520,880467840,18298,19312,709115712,961546112","2270818560,1707877504,3486404096,41112,1267528192,1416602368,33823","2274757376,5109016576,73635,2529975808,2703037440,2832441600,3827061504"
OFFCORE_RESPONSE_0:PF_L2_DATA_RD:ANY_RESPONSE,"227676720,143252944,273601024,776,141847632,126709248,1957","113521168,512859744,503771040,1090,283544064,2870,3546","680455296,909079552,848301888,3308,566653504,5816,7947","1138515200,1287222784,1369921664,2524,611854912,709112192,9627","1703516416,1707791488,2517984000,4492,2533573632,1416778240,1914944896","4539823616,3405479168,14976,2527481344,2312300800,2832761088,5749490688"
OFFCORE_RESPONSE_0:PF_L2_RFO:ANY_RESPONSE,"228494240,275674208,235561168,1140612,143143328,256728368,97382352","456308928,287017216,273571296,2310517,285584160,260464096,387125312","911629312,686151488,1314898176,4681913,571063616,509783040,773695680","859251200,1292365056,886686912,5853410,5967895,715353920,967739520","579049216,2287251456,2335587584,11743139,959897408,11753113,1927755392","4560073728,5129679360,23471892,2553708800,5041713152,2854997504,5771376640"
OFFCORE_RESPONSE_0:PF_L1D_AND_SW:ANY_RESPONSE,"113750256,257541760,176871776,415,141781344,257567312,312","340773824,341449856,426430656,666,283607136,257691216,509","226727296,681609792,848052992,1559,566723328,887270016,1154297088","853955200,1287288576,489539584,1796,1085193088,1787,961713664","1703482624,2277851904,1549577216,3380,4862,1416841472,2104","4549312000,5108058624,7730,8785,3085231104,2832572416,5544"
RUNTIME,"8.53591,4.32923,2.95882,41.4378,20.9796,18.8617,14.1381","17.0584,8.59445,5.86295,82.8848,41.7454,37.2909,28.1688","34.0628,17.0819,11.6207,165.754,83.1501,73.9828,56.4135","42.759,21.9763,14.7215,207.547,93.1045,104.082,70.4306","85.3193,42.7878,29.0994,415.135,185.368,209.499,141.116","170.474,85.3078,830.103,363.614,57.9403,416.282,281.888"
PAPI_TOT_CYC,"2835880960,3563235840,3561451520,3875054336","5665183232,5693592576,6985718784,7737206272","11326284800,11396101120,13953192960,15107369984","14180014080,17460156416,14210713600,19273224192","28335669248,34989260800,37903507456,38191874048","56642805760,69957500928,59374698496,76469780480"
PAPI_TOT_INS,"4544266752,4544397312,4546415104,4545770496","9079359488,9079392256,9082820608,9081640960","18149679104,18149877760,18151981056,18154065920","22720931840,22723176448,22720997376,22722146304","45396647936,45399695360,45397008384,45401583616","90747740160,90750230528,90748502016,90752024576"
PAPI_REF_CYC,"2070231424,2085953280,2615331072,2824611840","4136293632,4153450496,5154483200,5618970112","8266926592,8276101632,10185159680,11238187008","10350001152,12760691712,10368306176,14053169152","20684941312,25441017856,20708186112,28022452224","41346863104,48708304896,41390690304,55921016832"
