Event Name,1 Threads,2 Threads,3 Threads,4 Threads,5 Threads
PAPI_TOT_CYC,29083721,29032423,29129205,29106624,29094182
PAPI_TOT_INS,98642597,98642472,98642472,98642472,98642472
PAPI_REF_CYC,24580121,24171221,23465848,23447636,23437521
