Event Name,1 Threads,2 Threads,3 Threads,4 Threads,5 Threads
PAPI_TOT_CYC,35187229,35066074,34996411,35142812,34976710
PAPI_TOT_INS,18021294,18008312,18014936,18028423,18016975
PAPI_REF_CYC,27971956,27873612,27817430,27935323,27802850
