Event Name,1 Threads,2 Threads,3 Threads,4 Threads,5 Threads
PAPI_TOT_CYC,28145832339028,29107752,29076116,29094940,29092622
PAPI_TOT_INS,98642597,98642472,98642472,98642472,98642468
PAPI_REF_CYC,24274925,23469305,23423091,23499906,23942469
