Event Name,1 Threads,2 Threads,3 Threads,4 Threads,5 Threads
PAPI_TOT_CYC,28146216002309,29151947,29139491,29131746,29108429
PAPI_TOT_INS,98642597,98642472,98642472,98642472,98642472
PAPI_REF_CYC,24135934,23484153,23474224,23467936,23468377
