Event Name,1 Threads,2 Threads,3 Threads,4 Threads,5 Threads
PAPI_TOT_CYC,28144943386266,29155818,29099392,29122096,29116720
PAPI_TOT_INS,98642597,98642470,98642470,98642470,98642472
PAPI_REF_CYC,24420598,23506727,23479815,23495312,23504964
