Event Name,1 Threads,2 Threads,3 Threads,4 Threads,5 Threads
PAPI_TOT_CYC,282514458,282973032,283313716,283235837,283713889
PAPI_TOT_INS,986424845,986424719,986424716,986424719,986424734
PAPI_REF_CYC,228084396,227957052,228231368,228169540,228554382
