Event Name,1 Threads,2 Threads,3 Threads,4 Threads,5 Threads
PAPI_TOT_CYC,29137726,29142794,29176412,29148542,29152213
PAPI_TOT_INS,98642597,98642465,98642472,98642472,98642472
PAPI_REF_CYC,24214721,23477031,23527746,24879796,23484269
