Event Name,1 Threads,2 Threads,3 Threads,4 Threads,5 Threads
PAPI_TOT_CYC,28146361679955,29153575,29092771,29079506,29116163
PAPI_TOT_INS,98642599,98642473,98642472,98642472,98642471
PAPI_REF_CYC,24483980,23490046,23455548,23462484,23502249
