Event Name,10000x500,10000x1000,10000x2000,50000x500,50000x1000,50000x2000
CYCLE_ACTIVITY:CYCLES_L2_MISS,"25968050,28637044,6708046,8902599","49142544,94091152,16691376,32912308","101944680,50355692,34596280,71366848","107373616,53983640,35264996,47191716","239567136,134942768,77872128,155687824","600453248,1565351936,160104544,367153088"
CYCLE_ACTIVITY:CYCLES_L3_MISS,"23610028,8648786,5620994,6125970","42164264,20742694,13373645,21846826","86647136,43696536,28354164,49088244","91582816,44532120,29760042,27746836","207645616,120464784,65356392,91651960","504626688,205267472,136852800,217039904"
CYCLE_ACTIVITY:STALLS_L1D_MISS,"34262304,13238157,8252068,21513932","67997168,32814906,22834102,99132784","166810512,68784008,54460384,341693600","127617320,72465280,43659428,76269144","380120000,521452896,103934848,526575520","1475849344,359504160,240555824,1916521728"
CYCLE_ACTIVITY:STALLS_L2_MISS,"27877028,8081038,5248266,6467109","41694832,89277000,13003768,26130560","79844712,304417664,26357816,63830968","84314616,43072084,28722774,39269060","193961376,460341504,62174040,127288360","489367904,195383264,131663792,286652512"
CYCLE_ACTIVITY:STALLS_L3_MISS,"18575224,7734969,4758287,14826168","35360084,17527966,11601284,16465758","72088368,35294728,24751168,36733824","78000944,130203864,25425894,29752038","207884256,106695120,57291176,82884432","424631328,179738080,117172456,188703072"
RESOURCE_STALLS,"86417056,55375688,24250364,33661112","247044768,182464192,83886312,175847280","851849664,647448192,301181952,646236800","402839680,203399904,133246488,160476896","1473221120,636178112,404761408,856108032","5696060928,3182267136,1407609472,3748530944"
L2_RQSTS:ALL_DEMAND_DATA_RD,"4793216,3193587,1240865,1956358","13010248,6200289,3913536,9510925","46799328,22268460,15439595,36105912","24044908,16787736,7463288,10175388","83738848,29571622,21185926,49045416","275589728,118177616,73710248,203192736"
L2_RQSTS:DEMAND_DATA_RD_HIT,"4682714,3113756,1143572,12925783","12901516,75086616,3827744,8930601","46395796,290287264,208104624,45693200","23321778,16376454,7224416,9737902","82305776,384247552,20427062,48129436","318959264,1448062848,998793600,196724368"
L2_RQSTS:DEMAND_DATA_RD_MISS,"154279,84778,53304,90004","298129,208972,124167,442544","629871,332884,237470,975640","743813,414729,278234,522606","1577077,885965,562782,2143087","5226504,1633856,1078641,4638664"
L2_RQSTS:ALL_RFO,"1922289,952844,633711,465527","3953600,1910884,1287745,942270","8414679,4089272,2677042,1938174","9331640,4508321,3059715,2316057","18776668,8977455,6233365,4461106","38039628,18852902,12465825,8883226"
L2_RQSTS:RFO_HIT,"1766954,883905,587416,403614","3466500,1693302,1164312,772429","6876838,3717789,2365142,1517609","8683342,4072914,2795500,2081129","17273594,8041121,5832075,3516590","34001688,17554118,11441726,7058718"
L2_RQSTS:RFO_MISS,"156485,18831510,18828198,8653662","486863,226101,49108616,85374712","1541142,271425984,189434640,404145","648610,97109776,266328,100493992","1501067,355555904,5535004,7028587","3925425,1348446464,936747200,8964662"
L2_RQSTS:ALL_CODE_RD,"17025,11750,12142,8531","41006,27335,24033,19011","108090,72608,60196,42524","83135,53752,50434,33182","211318,122396,119644,78359","538592,377783,309395,194661"
L2_RQSTS:CODE_RD_HIT,"196,249,415,486","520,293,587,505","1229,507,1024,500","847,440,785,544","3305,1313,1457,676","3933,4895,6216,1525"
L2_RQSTS:CODE_RD_MISS,"17076,11705,11840,7826","39032,29245,23816,18756","102383,69385,64139,39701","79609,54101,50937,31192","205631,111769,119620,81127","519712,346853,305273,195051"
L2_RQSTS:ALL_PF,"137038544,81892528,60824052,55957432","516626624,310879648,188619424,163430560","2030711040,1034210624,798491712,595587648","666165504,409312928,226322720,210237312","2556330752,1360596608,905387712,776961344","9800027136,6121665024,4066854400,2956533248"
L2_RQSTS:PF_HIT,"126501656,64528536,51132080,39261720","478123520,288768640,164448160,187030672","1844099840,969578880,745610880,433062144","612634496,384093248,207769824,168555760","2303217920,1491243776,1006720512,550875776","8612221952,4976453120,3877140992,3411052800"
L2_RQSTS:PF_MISS,"10445027,5368957,3561011,6759658","38618436,24727366,16240651,43997492","186580192,64925960,55587704,187330592","53531128,27319126,18341612,35028460","251289568,91622448,61451360,222463456","1214233344,312862272,206665568,961783680"
L2_RQSTS:ALL_DEMAND_REFERENCES,"6546322,4153490,1861778,2465973","16956516,8345437,5260965,10295291","55800824,27474154,18385986,39853608","33449788,21292246,10617101,12498672","102204808,36972336,27448102,52508604","342727680,137699232,86645008,215628976"
L2_RQSTS:ALL_DEMAND_MISS,"322588,164288,107968,149704","828051,71973160,273429,650149","2273090,776252,614833,17494004","1471994,900205,596399,100899192","3301258,352496832,1083375,7373465","9750552,3282139,6903283,14911952"
L2_RQSTS:REFERENCES,"143711664,73768056,48410108,51546248","534070112,318454048,185831648,165196064","2086964480,1061633536,692232704,641284544","699360256,426639680,236887968,224057472","2655618304,1403402496,1083390592,825249472","10158913536,5426601984,4143225600,3194886656"
L2_RQSTS:MISS,"10744060,5529862,3677333,29478758","39484712,94373592,25409708,44132528","189236560,328892736,244212816,189865552","55068172,120084376,18940420,40019524","254905680,93450352,302819072,225372240","1224142592,316229696,1123960320,972747264"
OFFCORE_RESPONSE_0:DMND_DATA_RD:ANY_RESPONSE,"218569,112786,68192,114859","469327,72008680,192013,89168848","1253879,271011360,9262970,8720645","1047863,95707352,371053,778206","2684629,350649280,781867,402346432","11034318,1351834880,935296640,13559362"
OFFCORE_RESPONSE_0:DMND_RFO:ANY_RESPONSE,"115709,19278524,61641,82897","282174,70729056,176283,6645195","634630,270981024,464622,605717","705880,96157328,382613,103553256","1460698,350904896,553753,5601329","3424028,1780509,1419283,7843401"
OFFCORE_RESPONSE_0:DMND_CODE_RD:ANY_RESPONSE,"17161,12136,11924,7438","41087,72141496,23145,19493","105627,70124,60654,43647","76234,54283,47741,9212720","204725,348714848,114241,412631488","567050,1348657408,303737,11469522"
OFFCORE_RESPONSE_0:PF_L2_DATA_RD:ANY_RESPONSE,"9347342,23395034,20879070,14936630","33982000,88748936,13962570,116340224","160237552,59111960,237644720,154001056","47429712,23534432,84171736,132856336","210493344,82577608,56030216,193664848","937418752,288927424,189351712,785105536"
OFFCORE_RESPONSE_0:PF_L2_RFO:ANY_RESPONSE,"185309,176844,17776688,244326","378247,71616224,253486,573055","840121,611635,598142,315742144","1038931,1307191,603836,1301894","1903812,350267616,9682148,412482560","4469194,2290932,936320512,4766959"
OFFCORE_RESPONSE_0:PF_L1D_AND_SW:ANY_RESPONSE,"766274,19378810,226225,6882601","4058448,73589136,1909219,92595568","25042240,4793764,7131324,32144028","4652617,97039968,70404552,11549882","37127336,354382432,4209347,46556628","265111200,1379338624,947089536,185472256"
RUNTIME,"7.51365,4.09098,7.65615,7.10416","27.6094,14.6571,22.9826,19.1508","108.984,55.5153,90.2158,66.6227","37.0337,19.7147,29.5468,23.1204","141.523,71.9758,108.676,84.95","561.478,277.315,444.499,332.794"
