Metric,false,master,close,spread
perf::PERF_COUNT_HW_CACHE_DTLB:READ:ACCESS,"142651088,100033000,103357496,458202272,97157504,96808144,151471248,96776104,151370080,93807920,151349648","100602560,102885792,105150048,107301688,96738832,96739720,96741192,96740744,96743664,96745128,96746408","98832256,100033088,101231384,324618528,152194800,96999296,236417776,235910624,236501968,96958128,97013376","139545312,185385472,199157424,324107776,96866112,96871544,96874992,93930640,93794664,96974432,93783744"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:MISS,"91,124,45092272,370,271,306271,236315664,237932544,151429104,151146304,451491","138,160,209,108,249,228,353,231,347,371,1111","152,229,466048000,178434560,151652256,174355,146728,307410,198708,64166,69494","51,56823896,311793504,178047152,306139,305,317,136033,245836,150844544,84121"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:ACCESS,"76067704,177711408,177262080,172308928,76140576,76181584,76069824,76284848,76108776,236206496,76262632","76067632,76067944,76068304,76068536,76068968,76069248,76069456,76069872,76070552,76070472,76070816","76067792,298845344,388117760,121115816,76176128,76419024,76377328,76105728,76176032,76270584,76221496","280552960,132939376,165062496,164894608,76069216,76242536,76309360,76102128,76280776,76138200,76307944"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:MISS,"808,252636000,3199,489974464,413,161921,69900,278095,214071,151917680,675074","820,3141,824,412,843,866,609,571,900,679,900","821,827,44371424,267275296,214721,32379,339042,1061,235793664,69086,140186","57240696,293034016,44559264,288303200,53827,101702,151035584,133038,306837,202977,84987"
CYCLE_ACTIVITY:CYCLES_L1D_MISS,"44482724,327273,51841856,631995,630059,592381,237323856,151861584,818002,849891,151966352","376042,379863,546087,378992,498140,326787,357609,355853,421952,408894,411442","351380,361750,44751032,222379600,151435968,762353,500452,600603,929171,221281888,1150826","44705152,596446848,235607152,179534880,151302816,236809008,521218,984734,686166,849166,640856"
CYCLE_ACTIVITY:CYCLES_L2_MISS,"145562672,309337664,924007296,617287808,391717,391880,218569,221513,111816,251499,186521","67189,76316,82982,99823,85070,84880,84500,92212,119704,105220,137524","56278,74719,84866,421398048,197006,291281,291935,150915104,396316,281547,312752","44177184,190503200,246890464,311942656,103997,151126432,236712528,550415,87473,237053,559825"
CYCLE_ACTIVITY:CYCLES_L3_MISS,"44162760,240074288,57284,90720344,404437,151777136,228184,366630,483413,530294,524306","55258,64023,73186,92606,66791,61458,67522,79453,81547,74508,94286","38366,70721,222069952,532680448,176411,281268,151005280,150932384,201239,232890608,236794480","337656192,202510688,311065568,311398464,138352,116251,250561,713492,286554,339099,236895136"
CYCLE_ACTIVITY:STALLS_L1D_MISS,"88354736,341396160,443419680,353603200,352434,151563008,447865,151976176,320260,398260,428182","124681,103245,99469,119193,111865,85862,81039,117123,130785,147818,145324","86806,92578,140937,554710400,151106464,349322,410744,151009664,284827,153196992,547752","88373848,44260160,44529356,89158896,243033,236821344,311205,253769,193755,119110,512160"
CYCLE_ACTIVITY:STALLS_L2_MISS,"61268,154506448,459967776,188868288,393053,254659,429881,169321,81410,216324,418754","55708,63399,67072,70699,65996,64745,60116,98663,77597,85211,89499","45425,45229936,45162264,134121888,151107216,182024,151212144,236521728,151899456,80621,567720","44164564,100975200,503425664,44578468,452838,63467,151181072,368566,174467,139475,494650"
CYCLE_ACTIVITY:STALLS_L3_MISS,"151119216,146924848,64518,919672192,96223,244253,243334,283155,262502,624403,236404336","45782,44790,45126,59334,38788,56896,47242,63076,53497,61022,93323","22744,28164,25570,45081096,303380,39604,151211216,33071,259333,327289,359190","214973856,30962,311158496,311447392,192697,377576,245505,236222432,151353152,436298,179526"
RESOURCE_STALLS,"68722288,260776816,263983664,347540064,236425264,37083740,151848736,63456196,63307696,36932884,152594080","64438968,64405692,64404052,64209120,64378368,64235824,64228144,64502876,64048004,64261828,64369464","65300148,65179844,45129080,287751968,64625380,64351488,64280560,64348552,36819372,61909792,236654032","85187712,353766240,95154712,421070752,236414208,237261616,37317048,64424600,41748924,64124016,64400608"
L2_RQSTS:ALL_DEMAND_DATA_RD,"28492,33269,35962,48907,30543,34861,58368,33661,59418,34708,61022","34370,34319,37365,34258,36686,30487,29076,29943,30727,31452,31510","33580,50605,30790,32972,30217,31495,37332,35779,34839,60004,61857","59720,60288,62211,35548,35823,61565,67039,37454,31385,63166,59549"
L2_RQSTS:DEMAND_DATA_RD_HIT,"145223360,630608832,543109056,508822176,151496224,121728,120644,741599,398757,152086864,701023","34091,32947,35608,33153,29401,27677,28203,33271,28523,33218,30483","34863,34191,89584280,358068896,101081,307670,151086304,94577,236339776,236508304,153664288","201980400,449545344,470779200,467027296,464860,347095,236578000,783313,443129,62664,236453840"
L2_RQSTS:DEMAND_DATA_RD_MISS,"510,844,1042,984,909,1159,1111,1328,1259,1337,1638","389,524,584,693,712,866,871,1011,1183,1310,1477","534,757,831,509,681,689,867,1000,1021,969,1087","415,528,566,569,762,845,825,854,971,1040,1214"
L2_RQSTS:ALL_RFO,"75548,75496,75467,75556,75953,75849,76366,76309,76220,76266,76451","75318,75354,75375,75811,75427,75416,75540,75538,75580,75620,76124","75363,75424,75383,75974,75627,75721,76397,76215,76414,75986,76317","75916,75751,75765,75890,75606,75784,75835,76169,76021,76195,76358"
L2_RQSTS:RFO_HIT,"74334,74127,74168,74278,74042,74244,74275,74272,74083,74190,74244","73278,73736,73456,73514,74089,73971,74152,73758,74145,74375,73877","74125,74008,73634,73808,74247,74578,73976,74229,73854,75420,73975","74267,74335,73980,73947,74068,73656,74166,74080,73956,73608,74182"
L2_RQSTS:RFO_MISS,"238746672,400393536,876183296,958815872,236154672,309533,151649648,261247,2006,891339,519163","1829,1927,1753,2198,1222,1414,1556,1381,1406,1536,2194","199010624,44442972,243188720,432243104,151143552,218994,244727,39748,151329984,245222,559780","1529,157825152,548004096,555599872,203455,151029440,236607648,236458512,494311,130120,109175"
