Metric,false,master,close,spread
perf::PERF_COUNT_HW_CACHE_LL:READ:MISS,"92952,1342250880,1897734912,3359874048,103846,2266489344,177490272,159914624,423039008,1219097728,2964438784","102153,101085,103177,102413,106246,103548,103300,104300,103635,101803,103055","95019,93271,1278715264,4740644352,479510240,203990944,888215936,3239629568,107946,1993846528,1185727360","93741,3281198080,2214744064,732598272,1666166016,100455,112969,104041,1861361664,106318,2032143360"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:ACCESS,"1437905920,36140,4206930432,32435,38667,1380449408,36874,2915166464,1135618944,3798929920,1169050496","38965,40960,38152,36222,29880,26801,28289,28530,28029,27299,27027","31829,35513,30426,3815002368,32851,205424752,2488076544,2796668928,998298432,513507840,1906400512","2132925440,3455816448,804555328,36358,30451,1959993216,1079278464,799804800,1140019584,256767376,601675840"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:MISS,"1077643264,1036806400,2815238656,724143552,1880589056,1392231168,2115111936,1554478848,1420803072,1426547584,1812496256","32320,39275,32615,31006,23888,22059,22770,23492,22274,21847,22931","25737,29721,4155409920,1320803072,1905681024,35043,359236064,26877,1141709312,1904735232,718842944","21909,3113043712,806275200,30781,25675,1420241792,29183,41824,427247488,26704,3326103808"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:ACCESS,"4749004800,5136488448,5417431552,5567118848,4856762880,5413197824,5035196416,5144381440,4744960000,5239115776,5066570240","4754853888,4760624128,4766155776,4771945472,4744233984,4744968192,4744271872,4744973824,4744317952,4744335360,4744294912","4748263424,4750218240,5167166464,4750898176,4799774208,4744958976,4744202240,5031704576,5322512896,5046301696,5262795776","4733237760,4718996480,6099088384,6751187456,5530923008,5356284416,5181796352,5132500480,4846206976,4895153152,5567998464"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:MISS,"569,344639328,807047872,5036592128,790526848,1787863552,4149239552,1081728896,1533920128,1770218496,1648906880","58,245,683,614,882,712,243,261,941,369,398","1447757952,2220,431042624,3574,2884,1843,886681728,2130431104,1133144576,3351,2113","1277404672,348359008,2534033152,2781,3020,1436697984,2404,479822592,3410468608,894023552,1534695168"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:ACCESS,"2688015872,1639104640,3359265792,1433654912,3054478848,1386910848,2660846592,1960538112,2000547968,1028073792,2777841920","1028068032,1028068800,1028069248,1028070016,1028070272,1028070976,1028071360,1028071808,1028073216,1028073152,1028073856","2372015104,1028068928,2497790976,1028070272,1233090432,1386744192,1028072192,1028072896,1028073408,1483386624,2816923904","1365937024,3460845824,2470505472,2956114688,1233332096,1388219520,1028072128,1028072832,2031238400,1028074048,1978431616"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:MISS,"762575552,347984160,3677864448,5863,2348375296,1767394688,353473792,1240424960,1925468416,2697843456,324001280","42,1510,6386,2290,5256,2124,41,63,954,71,758","1769,2007,1926,706659712,3314209024,977,1011,963602496,894853888,387975552,1067639552","1719118592,4834701312,2237050880,1757588992,1422134912,204910608,1016,2294211328,1285532544,902529600,360553888"
CYCLE_ACTIVITY:CYCLES_L1D_MISS,"1364515072,713396544,3805085440,2916619776,3262821632,1093657856,3583418112,3039495936,1618773504,4296779776,1777517184","213869472,218343696,215035664,216020496,215856080,215531408,216093904,216245232,214007408,215228624,213739776","754733696,754761088,778063168,2003245696,1585630976,3411672832,2320788480,2020050304,4085729536,2315564800,1610977280","214786416,2067668224,2679386112,1056534784,967860416,765965440,3068425728,776596544,1036176448,1321090944,4790677504"
CYCLE_ACTIVITY:CYCLES_L2_MISS,"26256008,1711042176,794661824,2991976192,3583157504,1609366144,1881770880,29869922,3478200320,938125440,2694893568","22504682,25486666,22119884,23488460,23066090,22706594,23394320,23333318,21960262,23243568,21955248","33587992,26997732,33346604,4188428544,1453392256,1453117440,3052322048,1601352832,1169184768,29409704,634876352","1310628864,3126003456,1653619072,711236608,2182263296,1866087424,36450932,37851960,2309972992,1198876032,865044928"
CYCLE_ACTIVITY:CYCLES_L3_MISS,"3677014528,1701842816,3979814144,3242234624,1323528576,4459990016,1757387136,2701690368,24133048,3393228800,374946624","16652024,19940396,16360694,16573205,17268156,17089336,18494930,18486714,16675745,17652924,16544101","25942098,19283508,26145620,2785941760,3305768704,27747804,204173568,3905472000,1012975872,4273869312,1440035712","20350360,2952306176,1253577728,3354805760,24540992,1775767680,2706778624,2537454336,600563584,1851799552,1687622272"
CYCLE_ACTIVITY:STALLS_L1D_MISS,"534039648,2094141184,3538156800,1061613440,1764474752,1139973376,1457814144,136403840,4140638976,459834944,2235078656","22745888,25667740,22745542,23385608,23561420,23248008,23942124,24071214,22779720,26615048,22565980","143670096,140110832,147983136,146331136,1298611968,1337864576,2078202112,1697609728,154164384,2284674816,2011347072","457602016,1759032320,108427856,1843705216,606385472,1548325760,2234876160,150729744,153634928,151286608,156482816"
CYCLE_ACTIVITY:STALLS_L2_MISS,"23393428,885797888,908368256,30032472,494750464,1894225536,2125828096,2688374784,721736576,1368819456,748169280","19301240,21093144,17906100,18876456,18798332,18614366,19197640,19746544,18323128,22157028,18388976","29672312,23622172,30017314,28089652,1941218688,3266738688,32092060,1305742208,36244972,417399552,2395235840","2465756160,1916616064,422723360,1773809664,2400574464,1260734848,4296487936,2649670144,31779528,1319663104,1100598528"
