Metric,false,master,close,spread
CYCLE_ACTIVITY:CYCLES_L1D_MISS,"11576035,11994719,11798445,11332209,12001434,315169248,611424320,161145472","53645700,53821048,52984552,53661592,53716824,610083200,1282985344,985983488","321844352,318646304,319238688,320935712,319966752,1152198016,1956719744,952278656","48732496,48398952,50268532,49472880,49703948,49866552,951053184,1189618816"
CYCLE_ACTIVITY:CYCLES_L2_MISS,"3865904,3117143,2999968,2910259,207342464,223318400,4105800,597363072","15799395,16025697,14127143,15203741,15013897,490300640,317348672,1264994176","46677664,44994472,46412948,47687384,48001880,1389868928,2019972096,60302852","8505079,7206761,7307554,7454963,7025684,1488804224,2087622912,470787008"
CYCLE_ACTIVITY:CYCLES_L3_MISS,"3010728,2186725,2169727,2091476,2609424,3118820,392983712,654770816","13031418,12876143,11306473,13186613,12816427,15596359,14906109,317870720","37154416,34007128,34893356,36174968,36588216,998249792,1492399872,700300800","3684638,3283837,3310685,3379732,3188436,649223360,2400369920,5436902"
CYCLE_ACTIVITY:STALLS_L1D_MISS,"3363144,2663402,2629312,2506017,3006701,304714880,173798560,1762444672","14382095,14773789,12484297,13651661,13663658,1014788544,734615552,1429377280","46210864,43151684,44126704,45104728,43923508,72938168,1008749504,137243312","7301339,6329779,6559855,1521843328,6101901,6422297,298169632,2241048064"
CYCLE_ACTIVITY:STALLS_L2_MISS,"3288387,2549786,2269696,2379707,2887082,303074016,955558016,775612416","14890303,13475358,11707151,12992206,12614164,604528640,1226054528,1125900544","40720684,36388884,38620320,40101124,38675304,425727744,54781400,1403358592","6145516,5064006,1761556992,5205252,4738839,1280354688,1223629568,1431434496"
CYCLE_ACTIVITY:STALLS_L3_MISS,"3112326,2096477,2181640,1887263,2497847,220542400,474773536,432384448","11990667,11921978,10550244,11475490,335030112,327891872,1092506112,595867584","34477080,30142026,33271564,32958640,33069564,569592320,710382656,1069354368","3682990,3184255,2985374,3060044,2950231,599638016,1325166464,1624143232"
RESOURCE_STALLS,"104858096,103330968,102773904,276968640,367508032,334875872,882634240,854849664","201792224,202372816,200598144,202181472,202114496,561982208,1498459008,871958848","450739168,447997696,448566976,449338816,448408160,814860224,1672022784,1882701440","510384000,509126240,509403904,508267840,507343840,1926074240,1074861696,1818658048"
L2_RQSTS:ALL_DEMAND_DATA_RD,"959746,1031362,978947,978295,979472,1753752,1608851,1625373","4376356,4404153,4424176,4440506,4425894,6590887,12834314,15967877","31496232,31456332,31392720,31450564,31471948,37713464,46971360,54619416","4669069,4721768,4764758,4732446,4755474,4741969,8880082,9436175"
L2_RQSTS:DEMAND_DATA_RD_HIT,"934529,1010607,952792,953593,205352992,661214592,169162416,594001792","4285757,4305177,4348717,4317638,4344820,838493312,12786848,515070336","31130200,31090256,31061892,1281995008,1106802176,37337912,51930952,1663090048","4590361,4665782,1773640448,1956928896,4673491,1513590528,1636725888,10636689"
L2_RQSTS:DEMAND_DATA_RD_MISS,"23902,25573,24866,25941,25927,28892,30938,29059","87620,94623,94203,94791,95219,98882,101926,104865","379526,409165,390013,379190,403178,373468,389790,380694","80657,75549,77067,76512,76901,79780,68504,61268"
L2_RQSTS:ALL_RFO,"120964,120856,121188,121210,121047,123934,124248,124788","300354,300106,303648,301238,301071,302323,343141,355200","1130606,1142470,1110311,1140424,1140919,1127367,1418286,1561475","389626,388795,389612,389184,388513,389633,387415,387246"
L2_RQSTS:RFO_HIT,"118188,117317,117643,117472,117210,120367,121607,121622","294559,293337,294863,292297,293850,293638,331826,351247","1091605,1093153,1064502,1096240,1096905,1094602,1368581,1577298","361966,362458,362183,362246,362132,363019,372050,377141"
L2_RQSTS:RFO_MISS,"3596,189302160,3538,116869616,102404088,3945,1584639360,1658223104","7750,7645,7594,194004496,164051232,1256772736,1941090560,726491328","39264,43759,43460,40548,40269,717104256,735167936,2306752000","28600,26498,27078,27038,26212,839798976,552184960,1326306048"
L2_RQSTS:ALL_CODE_RD,"3547,3634,4358,4969,5401,6110,7804,8492","4286,4961,5827,5947,6153,8130,8658,9397","5723,7132,8420,8730,9680,13020,12425,11955","8568,8987,9008,9743,10032,13042,11875,11885"
L2_RQSTS:CODE_RD_HIT,"587,739,857,1090,913,1300,2033,2049","661,590,1091,892,941,1676,1693,3012","756,991,1578,1066,1372,2065,2169,3360","2171,2632,3212,2425,2096,3245,3616,3519"
L2_RQSTS:CODE_RD_MISS,"2992,3357,3583,4028,4558,4629,4988,5769","4040,4506,4970,5372,5474,6670,6995,6668","5825,6520,6240,6981,7597,10377,9130,8243","6436,6863,7303,7646,7560,10287,8757,7918"
L2_RQSTS:ALL_PF,"6690204,6809184,6719768,6894599,107937480,564273088,1034875776,879089600","15529126,15454335,15533690,15551283,337502240,164493376,17993140,1766144640","55947656,44857248,43324592,1298666112,45193836,1677246080,748243520,3145317376","60775232,60749464,1787757312,60724956,60680924,1247665280,2713654016,2718121984"
L2_RQSTS:PF_HIT,"5837727,5919626,5811669,5977293,107227088,206486240,385590016,399803040","13411498,13715751,253010752,13656978,13555731,15660548,1095422208,672631744","45444664,36024496,32808826,35583896,31514292,588527680,868547328,1522278912","28332060,28284600,28225554,28261832,28240056,2219177472,2289587712,2128807040"
L2_RQSTS:PF_MISS,"852753,904535,901807,943552,942332,1015296,1038436,1061760","1792001,1819145,1830352,1860135,1876830,1973921,2056796,2074095","4194044,5762825,12052753,4595745,8075859,6730439,6562343,5237938","32451272,32457240,32458624,32461116,32457560,32460936,22987708,18291906"
L2_RQSTS:ALL_DEMAND_REFERENCES,"1087769,1152158,1103486,1101676,1102802,1880279,1860034,1599722","4682418,4738854,4749147,4750237,4723056,9012219,11974236,13180929","32637888,32649134,32552524,32652780,32644332,35339364,51422624,56304720","5073019,5137967,5164465,5138122,5154009,5137233,10287747,10770030"
L2_RQSTS:ALL_DEMAND_MISS,"29695,31401,31960,456501792,34255,536351168,40111,504840800","101474,102181,108145,108683,164231120,148137856,492556096,473903616","423108,421924,436506,432841,437211,815403712,1307005312,898355392","113349,132803,110955,116549,111444,220442544,1781312256,802682560"
L2_RQSTS:REFERENCES,"7761785,7990756,7876025,7984945,209815520,523046848,951000576,892689088","20060532,20388516,494333248,20305664,180394384,627549760,2266860032,189677360","83967360,74394808,74086256,75919624,75708256,944995904,1880642048,1820429568","65842932,65878440,65856612,65887336,65858412,1541193088,64570544,2036749568"
L2_RQSTS:MISS,"882327,939224,931241,350785600,412412128,315241408,1040680064,1366808832","1891247,1925991,1942359,306360224,603400960,265296480,1047072832,1647775744","4620695,6183531,12483054,4982259,780475584,5214393,1507548800,2299205888","32595152,32566652,32574638,32573904,32566784,1480535936,1103818368,1352671872"
OFFCORE_RESPONSE_0:DMND_DATA_RD:ANY_RESPONSE,"24079,26133,386060896,233604192,520884288,847040448,136639568,1139951104","87989,96378,592077248,582294016,492045856,1620218880,185140688,1230400000","389789,379001,391010,520135872,459596160,2403504896,3149506304,2085087616","85570,81932,82321,82587,91188,85837,3408200448,1379854208"
OFFCORE_RESPONSE_0:DMND_RFO:ANY_RESPONSE,"8131,282996192,283904448,337105472,298971552,684240192,1782682880,597413184","23129,24129,487493664,683294784,764351936,758020480,2166226944,901820096","63038,64341,1119313024,515382720,61536,1000163840,1467646080,2502928896","32406,32252,33437,1957201920,32625,1767735168,749755456,2307252992"
OFFCORE_RESPONSE_0:DMND_CODE_RD:ANY_RESPONSE,"2811,281830656,282826912,233512416,513304800,739158656,1364857856,1271075840","4183,4216,4506,294370880,766687040,705769856,1417932160,2257673216","5902,6108,6831,7012,1069461440,1208072064,2765120512,8119","5716,6528,7179,10415,7760,1703196544,761816192,3339674624"
OFFCORE_RESPONSE_0:PF_L2_DATA_RD:ANY_RESPONSE,"702070,738699,234928016,790397,505138048,404518432,953235200,1400583552","1425838,444893312,587833024,582411648,768253056,899665280,946288768,1857240576","3094132,3132674,1115733120,3588937,461013472,1432710400,3225814528,1530281344","31330520,31340164,31334860,31337700,31331742,31320612,3370677504,1929435776"
OFFCORE_RESPONSE_0:PF_L2_RFO:ANY_RESPONSE,"110401,189572256,244224288,454891328,409494752,937798592,887128832,1719230976","284333,284692,243172640,681582400,434384224,1616065664,1889950592,1693324032","961193,974297,941457,966991,1401098752,823217408,2616261376,2321464064","459379,451931,453369,451977,447855,845647552,3102628864,741922496"
OFFCORE_RESPONSE_0:PF_L1D_AND_SW:ANY_RESPONSE,"33195,189458624,385344800,233530752,207334592,580513344,1651657472,1951289344","58894,61883,596999616,582493056,328222080,1458649088,1691884416,852381120","106358,123276,157749,1263906048,780412416,2170333440,499315264,428281952","648072,655711,660314,661330,663310,2147767296,2944583680,2910194176"
RUNTIME,"5.723,4.021,3.504,3.153,2.973,2.933,3.212,2.941","10.06,6.294,5.094,4.384,3.966,3.899,4.1,3.582","20.161,12.193,9.639,8.116,7.305,6.22,5.794,5.45","29.289,20.366,17.13,15.445,14.235,12.46,12.809,12.184"
