Event Name,10000x500,10000x1000,10000x2000,50000x500,50000x1000,50000x2000
perf::PERF_COUNT_HW_CACHE_LL:READ:MISS,"12112,10255,11987,10283,9730,44132392,133885489,406981302","228348,142295,140631,119356,112645,101218,103240,691472399","4738505,3048480,4342364020,2463915,2449551,2267609,46823886,235928309","13517,12635,10420,9711,10404,8328,708597917,184012052","227012,155847,135257,116647,110259,104052,186754914,111864091","7482044,3038268,3101051,2501848,2507284,59237682,191742178,90461231"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:ACCESS,"576962,649322,643496,638725,648751,141960635,630714,653780","4269505,3305266,3099008,2922266,2820938,46776460,142480032,621417157","31021727,17827069,13922693,12544305,12000658,110985908,54040424,85336158","560226,655855,646079,174363926,660288,44740219,368821967,366619633","4322920,3393059,3052598,3013575,2744284,522058963,291188449,1425236661","29120589,19883006,14319558,12594830,11782317,10309346,3246867647,341630301"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:MISS,"56302,58158,62112,58553,59327,133141294,96954657,87930485","270005,262952,276046,262070,259587,54308066,542950166,432765471","917985,854164,834378,763096,767967,101924134,88960038,114945134","61344,67351,60629,62786,63223,44204354,133504123,300801724","274592,279793,776876369,268091,269678,256002,257627,628350417","868513,907765,805774,764335,772830,731614,57828696,114502383"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:ACCESS,"160125856,102860106,81314295,70699490,64810936,143761711,129886380,502697033","1024838793,606767434,445655251,366816163,319749086,540251066,456422900,752211067","7336643894,4133981228,2900747156,2289254636,3468281175,1488747833,1628390911,3358888653","160316105,103083819,81525808,70913907,65020642,452105178,610941490,769447483","1026633445,608466059,446988501,368044454,711476585,248062769,253097512,254336985","7356097195,4145514555,4179316781,2298309975,1932319291,1366376287,3019019981,1707130339"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:MISS,"2716,32740,40152,21345,114757,53808422,178110268,451030613","1109,884176733,49967,21007,44851,54288970,34946,30694","88336,89428,62084,42336,52921,56918537,72207,24171","524,53640,17716,20769,403,331948294,230935640,217882039","2016,2165,370,40687,68546,611831817,88740846,176874144","6115244,91359,154901,1127522,3278380848,202429485,13970,108207738"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:ACCESS,"28445123,22225050,20210618,19227099,18699802,106801972,556995475,455481095","122175172,89228151,78391065,73103589,69914808,163160034,428648739,394189463","634605209,417415470,4353057951,309114562,287150486,252115653,530294062,3239288777","28634524,22413366,20402872,19416478,18887211,71215442,377619844,653646359","122559610,89628577,78773947,73471278,70279752,65173597,340246463,262983873","636779830,419505262,347423729,311155068,289281691,368434754,2954149239,343646954"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:MISS,"1209,1201,2108,15055,1520,1242,1234,309381821","2029,1915,1259,991,1239,44125793,44476918,143699753","6470,10848,9234,5259,5250,158214112,290092581,2856890855","1146,1317,1318,174299911,216784674,2016,361498035,784477871","2808,258,773,1507,1097,832,1209,547681238","13813,11995,12201,9473,5106,11874,480286948,6466"
CYCLE_ACTIVITY:CYCLES_L1D_MISS,"101095650,55747971,47886344,44542749,45264605,178065850,441408826,49907606","735244538,382812834,336983535,253001181,235727534,299353616,693248751,699418355","5412957305,2962432295,2063585140,1984474699,3473397871,4652925308,2961300760,1603458421","100530940,54580496,48226771,45395881,44893150,147595699,136622541,1118849964","763426395,393952074,307745816,290061207,218928696,253466517,404824167,416055062","5623179745,3303257558,4178390052,1974908457,1518308098,1270888892,2091927678,1657457575"
CYCLE_ACTIVITY:CYCLES_L2_MISS,"49617299,20943142,19241630,19444334,21137445,171608793,173797980,498722697","413603117,199696193,188314188,138753848,130291591,155995860,564406298,664705020","2899424647,1499887867,1109490238,1139894839,990586150,1268687651,1071826272,3468679534","50825293,19469011,19357952,19640440,21980615,271286723,296683708,523673659","426435958,201468339,756554991,163721544,120375271,110328290,304628701,517991782","3016411779,1637901599,1069020665,1152114885,3280833930,793714509,1034035462,974612976"
CYCLE_ACTIVITY:CYCLES_L3_MISS,"1882023,956072,1301196,1043305,972046,120348066,886429883,460565607","27103317,13506387,11774887,10850090,708161662,110819877,210722114,642450695","553652623,326175777,336528774,274763856,251697913,504833319,2857086235,405273573","1755096,1083729,1199427,839955,912792,240673768,712911094,520215476","23884755,12974966,11356230,10713506,699308196,9945752,199523299,644469718","756356993,347303739,277593667,262632851,251567150,353540504,2935077101,401528019"
CYCLE_ACTIVITY:STALLS_L1D_MISS,"40964013,23000305,20150362,20722910,22077414,172702913,124116807,204879104","366794840,182142141,177978652,119685974,119909326,203112840,929876181,670905613","2977845416,1648772756,4329923789,1245202343,3336684276,1543686771,976752052,1658317943","41685267,21641547,21458556,21585655,22432282,117143211,344873642,964285755","382096032,185738218,152943576,157114724,106777915,108581368,298338160,158569679","3326463015,1880215196,1049776232,1231950513,912258874,800284435,1057040450,1356571319"
CYCLE_ACTIVITY:STALLS_L2_MISS,"26864551,13073929,12667517,13389259,14653701,120145071,191331092,19116527","233336908,115554822,125845706,89052753,84448356,134642152,81630266,828123427","1781820340,991741417,735284554,815242033,692104147,1114715776,926425187,752267305","26672861,12293463,13328317,13835346,15728499,71258670,888590390,635898977","241541925,119388763,107466928,111416298,79658981,626452512,332120276,196711475","1878638946,1076231773,681025358,813225161,609970250,555544495,956597943,774676585"
CYCLE_ACTIVITY:STALLS_L3_MISS,"1556498,841381,898414,865254,950656,208753833,565120752,280292373","17906070,10716331,12533562,8450407,11838969,151279429,641914697,1011708114","561019347,266276737,282180758,216784646,214863659,284057290,235876448,3082618429","1291426,855540,1066926,700577,256913747,89003147,598315253,89570648","16514006,10335592,12366328,8420784,11575419,523886188,445434754,1518439712","751280663,289942893,219225245,219152091,204076335,203553786,3217287501,272984432"
RESOURCE_STALLS,"89051297,63025825,56303395,54714072,56284657,366320743,61806378,64468275","648282700,376369846,360581421,663663605,280059750,327685500,563441332,447848655","4817035698,2810936095,2067678355,2083147261,3419780480,2146691717,2016835331,3113683822","91380463,60849195,56254368,55798336,58442169,163428771,153305429,466833422","686516798,379981246,330148167,333757319,267934486,281001633,647084398,999521583","5255706709,3072459651,4237521786,2044449937,1652311362,1446772235,1583887497,3521936007"
L2_RQSTS:ALL_DEMAND_DATA_RD,"10830841,7838128,6772332,6206053,5921402,5241676,5435026,5346262","60742399,37929972,32434148,29949917,28333438,24533199,24569481,25015022","353012632,182088772,149606732,130066642,119963352,109461191,102205017,101563031","11016760,8083825,6991409,6386348,6182580,6044804,6154424,5525950","60736699,38390144,32592473,29693234,28230870,24627541,24505510,24477194","328088647,188401752,150053837,130578131,121200374,102619519,102726396,102484552"
L2_RQSTS:DEMAND_DATA_RD_HIT,"8402464,7411490,6344994,5835340,5541179,221455110,758822508,5003211","31755846,29197291,26229100,25087449,24453234,67291140,1318075937,904478118","153532980,132791491,4325368107,99166473,91408199,4817345010,893274607,533633989","8526437,7727016,6614986,6013811,5800158,49840351,688674072,251114084","32309523,29728687,26268675,24875901,24434464,22278213,512082311,1204823811","171014561,134512762,4224224654,99699475,91972436,77858268,3571868136,742081020"
L2_RQSTS:DEMAND_DATA_RD_MISS,"2458071,424820,380658,368815,374702,401509,320110,380799","30440441,8646058,6182733,4857209,3842256,2326792,3681923,2298703","200067424,49881148,39290610,30903107,28570044,27382059,24806841,24429609","2495685,407465,374111,368563,384705,337656,399581,345900","28474947,8658237,6278592,4818044,3869094,2313981,2312631,3697055","153788731,54474847,37681562,31026481,29232925,24829657,24285316,27078138"
L2_RQSTS:ALL_RFO,"2503489,1945028,1766634,1647107,1606614,1516248,1495812,1646041","15023210,10711198,9092970,8510174,8004810,7384465,7240147,7289130","90236198,57659452,47045033,41262326,37924576,33578899,32758050,32419860","2457300,1924911,1745292,1639441,1559880,1599452,1502609,1607002","14809828,10599258,9088195,8302664,7960698,7303618,7230440,7203289","90056101,56877008,47187829,41209849,38159755,33200630,32983219,33256319"
L2_RQSTS:RFO_HIT,"1972303,1405172,1207860,1093680,1033582,917135,936179,928188","11311236,7809021,6423278,5833215,5468538,4891963,5061689,5053687","63880928,41753923,33832137,29341932,26241299,23156831,22679991,22567563","1925426,1368291,1156960,1048920,978006,1058355,911037,893201","11130299,7629949,6400794,5636904,5427689,4812548,4766463,4806956","66040921,39673171,33686009,29326407,26572545,22776674,22594758,22683533"
L2_RQSTS:RFO_MISS,"525295,551702,556186,563104,579802,281392097,154915781,544921246","3685411,2901434,2672512,90978748,680404840,309058618,178913765,1510789810","26183373,15863756,13282475,11999199,3413777556,4804352882,3228752584,806497911","531541,539377,568552,562124,260888596,142149828,178727282,947654958","3669684,2968088,2701029,2638938,2522936,2493416,649156872,541693554","23997211,17132261,13338957,11951125,3367373040,257704782,289110672,933889123"
L2_RQSTS:ALL_CODE_RD,"135294,179335,184348,178247,179829,177690,209373,186328","356975,478121,415032,451835,395439,406948,481039,474579","1174133,1209618,1209398,1112955,1042079,1225057,1270232,1115090","131488,171729,184771,173457,168120,197348,196635,622861","364168,443863,427402,426166,444310,408547,504672,415362","1192561,1199239,1135024,1158717,1051450,1020391,1086170,1195669"
L2_RQSTS:CODE_RD_HIT,"30276,85876,93589,108340,110704,138809,170652,151219","26444,134983,117125,175000,137801,181741,254874,212069","39201,185045,222678,302498,204574,403907,310462,318543","28668,77330,106331,110860,108506,140564,151817,132088","26486,111812,121998,150967,140899,183781,223731,189953","41392,173886,263834,253135,223396,243540,282248,307791"
L2_RQSTS:CODE_RD_MISS,"106160,92654,74967,64904,57780,43260,45482,44420","327128,350661,295759,284293,253793,224927,233016,234762","1124008,1032758,988882,894649,831140,824605,891712,753125","105305,92828,75543,63054,58918,50216,45966,68293","339246,329137,314471,284404,254674,222803,223194,232866","1141271,1043697,928148,916127,814453,752541,795000,819651"
L2_RQSTS:ALL_PF,"32260995,19444149,14034747,11211613,9531623,51206763,461681914,470830378","209580799,145524888,102089830,79082169,64794341,687559829,270028910,905026093","1593628179,1045251896,726558641,568056726,464958501,4514164196,3482541310,293618953","32464430,19510975,13736326,10888463,9909491,212579783,452891296,698389045","214015404,146298206,102263415,78974593,64740645,764728582,263776294,788245087","1686782877,1038772868,727358792,567172649,466684411,2596618417,398623511,283176935"
L2_RQSTS:PF_HIT,"22789236,15566180,11066382,8742389,7272180,204969677,542857909,310007274","130533478,90665770,64759937,51648975,45143508,823137411,854332650,651364078","981386246,635868898,4332059906,347125024,284994837,167329883,377687174,1197771835","23170675,15436477,10831009,8546084,7374184,377253943,555894146,911278309","132055770,89201589,65112347,51736393,44874704,127923604,227739241,696765050","1004303069,608034314,443152712,345746884,287743750,189057379,3370085475,3259913441"
L2_RQSTS:PF_MISS,"9481758,4045364,2929880,2548646,2320785,2025664,2029747,1989034","78890234,54920488,37319325,27156383,19824621,12252798,14833898,12123050","609062821,409516839,281078290,221113651,179922461,116388146,108835396,108582777","9488086,3932628,2857105,2474310,2342170,1994855,1935861,2092203","79856060,57232890,37681422,27197815,19841015,12226321,12362782,12194229","670998614,431111240,282580778,221760844,178659650,109361858,111397105,107417404"
L2_RQSTS:ALL_DEMAND_REFERENCES,"13480108,9965298,8774306,8117736,7689886,6944103,6961858,7076631","76185111,49232255,41962194,38756177,36668789,32306993,33060230,32473094","444295820,241411956,197905913,172267360,158686137,144385795,135915262,136182851","13614101,10234386,8917241,8186779,7924076,7888364,7287513,7196320","76174024,49432670,42127767,38439468,36703968,32360451,32260590,32146385","418005908,246066559,198458581,173015658,160427810,136850924,136736328,137155090"
L2_RQSTS:ALL_DEMAND_MISS,"3067921,1062904,1021689,983483,1019223,314645368,366420502,794632629","33027048,11910825,9180785,637229446,6610970,103385736,684566438,1464037351","230607172,66243760,53088732,43907695,41080340,82671855,2922436284,820263327","3119409,1056626,1031226,1008191,1028416,195499379,467536815,475273041","32550901,11941126,9259590,7754236,620088431,322309629,540770327,106087843","178046141,72344851,4217553617,43830795,41653082,3016189874,2995174623,3143278040"
L2_RQSTS:REFERENCES,"46016044,29663580,22724949,19409567,17336147,251028963,292095922,824545718","285766348,194797711,144052314,117805353,101643503,75948510,942809352,410082837","2033566003,1287519360,925041398,741077080,623713968,632173894,1073810417,1538454149","45903817,29690684,22665933,19163747,17741786,491372690,484324925,572926217","290326004,195732522,144722995,117430902,101434289,76381707,1113857498,540696998","2097057104,1285535551,927952837,740240006,627373339,434827549,3220740916,3040520177"
L2_RQSTS:MISS,"12512494,5149918,3961777,3551941,3331207,246716423,225748077,3166358","111935603,66915011,46559472,35032360,26496915,61874497,533985964,788823335","840328170,477519898,334261794,265050466,3330381811,257282248,719936528,686323836","12609652,4875668,3934957,3487833,3416497,251487724,726676054,1405243602","114463155,69297414,46906484,34904093,26494118,562498719,661444717,550762985","854034579,502734171,337255543,265660607,220092398,145131305,2968272438,687427321"
OFFCORE_RESPONSE_0:DMND_DATA_RD:ANY_RESPONSE,"2786645,484155,415117,398486,415087,359736057,406555335,562351051","30136079,10207819,7305657,5475631,4152663,688534522,942708652,1269235124","209458257,63299903,46741442,37224188,33740215,4712878590,696662978,3174755317","2831130,444780,412952,407583,424530,482341864,371433069,1140166675","30247547,10237209,7247019,5512873,4175678,770040189,1559736583,445831905","174903146,67852758,47666457,37469731,33815382,27375903,3144336260,4132379851"
OFFCORE_RESPONSE_0:DMND_RFO:ANY_RESPONSE,"585819,659267,640231,635161,649493,304280110,637157,258926545","4230756,3296434,3043479,2952555,2835662,834677210,1036293549,2242747","30964538,17874127,13944608,12504355,11958732,4637846481,3677984697,810957398","573142,646073,638517,638592,648924,493233865,505778336,780088628","4347608,3367183,3009012,3017757,2751207,2665670,2594464,528591572","28118857,19839040,14246229,12614523,3242885594,10255699,3332314579,3384674124"
OFFCORE_RESPONSE_0:DMND_CODE_RD:ANY_RESPONSE,"101881,93625,74494,63481,57076,141220406,45868,1101786249","323380,348583,304926,279936,723159680,239725171,1005804323,367963123","1136498,1013733,982447,895054,833354,58028161,493782542,140302288","104908,92903,75295,63186,258251113,453410912,944551653,782944422","337307,330757,775469114,283185,255916,300310130,1071022702,825594676","1178742,1031276,928887,904790,815723,745067,1049513916,669858476"
OFFCORE_RESPONSE_0:PF_L2_DATA_RD:ANY_RESPONSE,"4553820,2070117,1252202,970425,817883,278203444,375897972,266640197","36621100,32599897,21166430,14558425,10116721,843271707,776069755,543250782","304792682,247840137,181188125,144886957,115446705,235393612,3454449511,3434839498","4480929,2031957,1216243,958880,830148,535148484,834308660,1158426918","37883882,34058596,21909018,14622665,10268397,314012864,5066054,877927260","377702492,250367832,180390047,144448146,117612849,64400853,790037044,681422764"
OFFCORE_RESPONSE_0:PF_L2_RFO:ANY_RESPONSE,"853102,1179213,1118377,1046852,1016264,304153345,99086892,409879971","3415989,5135477,5241573,636641560,4823902,4067175,3768806,359439259","22738471,21782126,18265478,18028637,17573696,218806481,218728182,3313680950","889623,1143040,1121260,130482806,984453,352007105,367961052,1092722071","3736926,5138089,5208957,5206551,4890993,3959000,779010891,627569489","24131376,22135103,4221930943,18050606,17081552,15754166,3691269241,1087669726"
OFFCORE_RESPONSE_0:PF_L1D_AND_SW:ANY_RESPONSE,"3578451,634049,408962,376338,359172,392950845,645849259,442364673","36780472,15113442,9159563,6181966,4019311,197214125,201213429,1719098110","264286040,123108539,70232122,50132872,39396539,2818557379,3692422817,307857003","3600572,574387,403939,352350,371323,533216839,815721984,579211898","36742438,15870532,8944241,6084287,4001695,2403276,900228422,1974981142","244342900,140165555,72034875,50170917,37400525,24868051,2873412536,530194070"
RUNTIME,"0.06564,0.05204,0.04852,0.04728,0.04656,0.04882,0.06654,0.07314","0.41406,0.29626,0.24782,0.22582,0.2097,0.19186,0.28914,0.23782","2.93216,1.82554,1.43936,1.26912,1.14364,1.45454,1.00942,1.03278","0.06672,0.05338,0.04924,0.0475,0.0472,0.06392,0.05776,0.06974","0.42422,0.29744,0.24954,0.2309,0.20596,0.18936,0.20868,0.23038","3.044,1.82222,1.36034,1.28438,1.15992,0.9621,1.03618,1.05204"
