Event Name,10000x500,10000x1000,10000x2000,50000x500,50000x1000,50000x2000
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:ACCESS,"333,303,393,483,573,1023,1473,130554768","333,303,393,483,573,19077,36813,1923","322,303,393,483,573,1023,1468,43949604","333,303,393,483,573,13117,80984280,1857","333,292,393,483,573,26377,17624,175618448","333,303,393,483,573,1023,318534272,1909"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:MISS,"0,0,0,8676,0,18499,878863488,51294272","0,0,0,0,0,0,110565,351666976","0,0,0,13223,0,12302,87900016,185864304","0,0,0,0,0,0,22506,44566","0,0,0,11062,0,62738,0,3","0,0,0,0,0,103606,131835496,10"
CYCLE_ACTIVITY:CYCLES_L1D_MISS,"669,1877,4067,7362,7551,43746,106541,37318","604,2770,3275,6223,13550,70671,439466784,247058768","856,2243,3872,8654,8385,13582,85852,458355904","623,2254,3316,8635,9091,65178,40275,391967136","619,1974,4743,6081,7830,30281,395514144,52479","651,2349,4432,6166,6543,67924,43884,87264192"
CYCLE_ACTIVITY:CYCLES_L2_MISS,"229,1794,2563,7322,7535,70517,131839976,32695","296,1928,3215,5556,8578,31884,26934,358533536","341,2743,3212,6992,8839,55838,111326,703127616","305,2081,3258,8214,7950,55069,64820,125033600","439,1824,4034,5748,8058,81923,21138,39897","299,2722,2883,5808,8970,90351,87932568,43948280"
CYCLE_ACTIVITY:CYCLES_L3_MISS,"365,594,394,198,0,25999,483438848,612502848","217,435,399,404,410,36614,131853232,654013824","395,413,666,196,199,32886,439436512,415804416","148,10266,389,597,438,31271,789,365064928","566,882,640,804,199,53187,87902560,318194272","368,837,1962,873,1232,32797,307657792,117819104"
CYCLE_ACTIVITY:STALLS_L1D_MISS,"950,1804,4183,16732,6558,61508,38147,168479216","210,1792,3353,5533,8805,41228,20484,17930756","371,1864,4767,7119,17996,41998,122798,172215744","342,2490,3416,7809,8484,36376,87931168,36905","619,2039,3491,5491,7531,28384,175800880,483412736","377,2604,3637,5061,6609,64734,351635648,659110592"
CYCLE_ACTIVITY:STALLS_L2_MISS,"265,2173,2541,8894,6370,41550,21753,58777","249,1892,3491,5084,6975,28245,175786672,51439","379,1717,3447,6180,17150,46782,172693,395447232","646,2644,2585,7229,6242,74930,92761,367299712","302,2347,3290,5838,9206,111066,703293696,28763","223,1765,2955,4204,8123,89875,263773632,395535776"
CYCLE_ACTIVITY:STALLS_L3_MISS,"247,240,333,984,0,17794,54711,219687152","64,235,356,337,501,32556,69277,87899144","605,391,137,361,12968,18108,29170,633283392","261,375,392,534,594,66993,219751728,263568144","211,1073,863,625,345,11625,62079,449813632","218,740,765,679,541,45025,87141352,439378976"
RESOURCE_STALLS,"78,235,463,7220,2483,17086,91301584,864885760","47,1574,437,718,11389,11630,267210624,593162176","91,326,472,737,1093,87502,95321,356430464","98,479,600,949,997,4757,185397,389931648","122,373,1217,622,1071,20511,310914176,6436031","149,328,591,883,1149,49923,658461952,687856768"
L2_RQSTS:ALL_DEMAND_DATA_RD,"33,38,54,87,95,215,348,850","20,45,58,85,104,192,553,801","33,36,54,83,107,206,786,952","37,39,56,79,116,233,312,889","22,39,55,89,95,225,661,991","34,38,54,77,104,258,645,1164"
