Event Name,10000x500,10000x1000,10000x2000,50000x500,50000x1000,50000x2000
perf::PERF_COUNT_HW_CACHE_LL:READ:MISS,"350,616,10337412,7965864,6523891,18220502,27332720,970","12530,7865,7293,32823302,11591,12619,75699056,7560996","208257,219556,222381,238248,91298216,51692792,233032,49392104","9266,1950,2124,77339336,31467674,136705824,59540820,33750620","66493,26588,27906,230279424,62232556,65767180,135375104,373088032","347238,260455,214440032,321254464,128398680,282462,223940064,130491952"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:ACCESS,"3577,3821,20670100,3991,6812353,7290237,4440869,34557204","13776,31069722,21258808,14828,13443309,35727036,66349100,45330300","74703,69220176,75886,74967,75474,76594,21561858,100260624","25908,74793568,50629316,116038760,31545984,51217352,54159116,9491","24360,22628,101172656,153528416,62226964,65758132,116109072,372986208","92977,87294,85780,158754256,127967448,86962,77176,263464864"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:MISS,"192,230,143,15947725,140,14579382,22193492,22995210","5067,4015,3807,32817308,4932,11873294,37911384,45293336","56920,69339008,59219,61160,60527,87133480,178423680,181637536","2718,574,804,837,1103,102303168,21593756,885","16864,9018,101257072,7898,62148812,8882,89073488,237419904","82912,70418,68251,70348,128285824,135787488,311235136,461199776"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:ACCESS,"443575296,437040128,434503168,437072288,436376064,444031584,451641536,463805088","887618240,875279040,880031616,880861376,882335616,900409152,894300032,893214016","1793704192,1775004416,1794347776,1794642304,1794966528,1796448896,1827723520,1830067200","2205695488,2171891200,2206016512,2206230272,2206424576,2179003392,2238544640,2257397504","4389737984,4389983744,4390218752,4390468096,4361885184,4370440192,4396426752,4408289792","8775824384,8776150016,8776475648,8713589760,8588787712,8758069248,8818227200,8829814784"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:MISS,"136,15199394,10347432,7972405,9,3639064,4437638,215","37,31090336,21227214,16415789,26841026,11868656,85225032,67901192","86,69163328,48237596,422,347,52700392,34592808,67224432","304,74761736,50663888,38677092,62926792,34091968,21646266,101196696","40,428,101223248,76732312,436,69,89516128,135605008","345,316236736,404,161854656,552,66453908,221076768,263371424"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:ACCESS,"72567920,84237840,88592848,84759888,87674064,75503120,80526904,72570568","145593920,169683296,145593888,158501216,156210016,198005424,171206464,200364208","297645888,297645760,372877504,297646048,297646208,297647008,348235328,312620096","358727904,416132288,397534144,388636416,431243680,398500928,462698560,434335808","711753856,711753728,711753856,711754048,759962752,711755008,836121920,894228160","1423805824,1423805696,1423805952,1423806080,1724605696,1686083456,1853625600,1834385408"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:MISS,"633,15162136,20697606,7976422,52,10917864,26614144,26852422","34,31097252,21240988,32848368,13416829,11887381,18931846,52789528","74,69296560,403,73607920,90,17157166,51995648,114273000","532,74868488,50585648,38678540,31486454,153388832,96850376,101237136","4,2271,473,782,186615568,65609396,71348776,483","1687,126,225,675,825,132441728,784,329169024"
CYCLE_ACTIVITY:CYCLES_L1D_MISS,"8990383,23063854,18698966,31866346,8490495,30276918,53357272,49661216","43240600,42780320,62285632,74905896,43365576,72054832,112685232,230543440","320850368,319411200,394969920,349668800,346037312,363746400,689776128,692246656","42023760,112482944,138598064,78252288,164233616,190616032,291001760,295784096","194845472,333801792,192492064,335381376,307557952,317307200,774372480,1208467968","1457386368,1676385024,1591866368,1543398144,1429985536,1480825088,2808699392,3438455296"
CYCLE_ACTIVITY:CYCLES_L2_MISS,"1150745,1064778,11335830,16996370,7586968,26762346,37056664,13306467","6856707,5187127,26153384,6365339,32800384,28357670,82536568,30382720","46916828,113297264,50374248,84219608,77357960,82205520,119550552,143251328","5348487,4149000,54538176,42680616,5035165,55441964,165990784,240799616","15875934,10575014,211772448,238767056,134206032,173695648,200077984,187181040","68945472,368342816,55049440,214474672,438552640,390249792,530792704,537542528"
CYCLE_ACTIVITY:CYCLES_L3_MISS,"124890,15269176,10413643,24056738,19691498,14838670,53457708,46184696","2822126,32670678,22751692,19606684,42449440,17452496,68772496,47978988","35688288,103158544,82260160,72813904,38028668,72636232,146805312,145701104","2060526,75162928,50973208,77895176,64061164,714221,254956800,170177728","10790385,4888350,206931712,157026816,65930668,201312656,295895136,246054832","52598252,40451508,462127680,40228324,40546180,43031624,311277824,581751936"
