Event Name,10000x500,10000x1000,10000x2000,50000x500,50000x1000,50000x2000
perf::PERF_COUNT_HW_CACHE_LL:READ:MISS,"184860,129170,9311678,4767248,24991,4479291,64573528,82078120","963374,620099,5267657,733091,85716400,39295476,213461664,1164964","30207164,1048069632,18413642,636190784,565836416,707720256,603219008,560241088","7369,22178364,16510805,4954,28501946,35358032,9107115,86476528","882779,711039,578233,4997519,108879280,16284379,22246140,191339232","26259876,1038345344,769684032,11704323,20030848,27020298,26733824,61395808"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:ACCESS,"780120,1053335,834272,16151106,15386299,9617665,745900,23199194","4410746,4416420,3781361,101313128,90668880,3233699,62063112,134135960","26675652,25712944,18686526,632631680,21509820,28572236,44521292,43092440","916099,5498229,21725358,24424468,28872170,32338166,57445876,142801216","3747203,4487396,116809512,12388970,3730796,7695461,81000552,25576984","31788428,1036975808,771496064,638570368,22382176,16660706,38228300,69598952"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:MISS,"123151,21728236,25752242,43262,4780904,13295608,108236392,9622958","437299,470909,462797,91242832,87001368,86020048,18892730,53050264","2348159,1036232320,747380096,6408739,560505792,19635196,33682516,3613501","5834,8625,11470,6897,32702682,43480852,64338484,118151640","466966,469432,109341016,93826016,1365533,5582090,205633984,170645888","2219202,1024163648,6548214,626875712,6394186,479858944,496391072,39189896"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:ACCESS,"197691664,115949072,89382472,76434384,71869360,59071500,136743440,87109040","1327526784,727686720,587717504,484853600,369295232,280403232,281784096,320785408","9777354752,5717295104,4108328192,2997840896,2461250048,2164658432,1699468032,1952754304","197712048,126595952,96953784,76435056,67467304,95826840,97527008,148939360","1327501696,727661696,534707136,488549952,437361920,333470848,304527936,311900928","9777408000,5703801856,3731075072,3328684032,2456920576,1644708352,1707252352,1679569920"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:MISS,"482,2769,8830142,8827990,2875,4414523,90843576,62583176","1203,1273,2934,2264,80757768,10589615,22015796,21959172","418,1030860928,755402240,4414796,1899,8909222,92696112,606091648","2176,22138472,16496163,23683012,4414104,9127962,92355760,119817048","3264,2121,4413320,4414539,4415548,19560036,37481164,201687056","952,1021042496,758742784,1227,549067584,22870596,35455580,63183380"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:ACCESS,"30278842,40999000,22379732,30003952,15419773,23097172,96060312,31959988","142023744,90269328,78081456,147329264,59528620,140350624,72459624,103338208","820617856,1462207232,365861344,306375200,802126400,232216480,252660016,231094704","30283530,21005036,37030352,25099792,28694892,64816788,91148728,134200536","142000640,214588544,73496912,64425728,59593152,132354584,52072480,169231600","820476928,478461792,1089042176,910474624,277184032,676174976,278399456,223129632"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:MISS,"982,21672970,29727764,1214,19167028,28015924,104976800,85420400","2224,1964,4519442,89579848,4533218,30316518,17714736,44219888","3442,1032447296,751192192,4414190,4472253,4479904,587844416,8485187","1775,854,20921020,23675418,4414803,14447472,33562880,109947880","2451,2624,1342,89131176,2220,8831919,20261860,185408400","2945,1020413824,1765,1698,4414510,1716,513346496,47697804"
CYCLE_ACTIVITY:CYCLES_L1D_MISS,"246220752,146090384,163423904,106662032,82768304,71016936,119203200,221238368","1576936320,784079808,641851456,630504960,526552832,519367520,724174400,607148928","12541712384,7215449600,5401705472,4540327936,4070885888,4209868032,3907569664,3503923712","240726192,141988816,109318864,96416048,138639520,180794928,186907136,207311264","1503155200,797477760,698772096,596554816,698478464,530273120,710718080,665822656","12439328768,6584441856,5517574144,4762182656,3989572864,3228601856,4094555392,3671910400"
CYCLE_ACTIVITY:CYCLES_L2_MISS,"177802768,79538384,97548376,33828332,41931364,77857560,124937560,136524096","1206338304,551615168,367525984,378144800,282978592,322178944,388524448,367874848","8814995456,4998685184,3378340352,2729213184,2192194816,2162201344,2755307776,2398557952","173395680,95479904,37999596,38039032,74696176,99996784,125763352,172201168","1179676416,558419072,479806272,315023040,383535904,330040448,489388544,453077088","8564134912,4978869248,3510130688,2380665856,2430338816,2063910272,1873452032,2816964608"
CYCLE_ACTIVITY:CYCLES_L3_MISS,"10247758,41494356,49889752,16008011,1322388,24562372,90308912,76845136","94184032,182970368,63349932,154579328,128101416,133532736,318234944,177290720","2905167104,2585370112,1603171840,1646460544,1026767872,1497479936,1255204608,1077019648","1043956,22814678,21715702,9974405,57435828,82349368,120903744,95063288","79406072,64412596,156845280,137908512,149235440,141326224,277132128,218274592","2614551040,1895375232,1955699328,1079326976,1476370176,1050610880,938797888,1496308608"
CYCLE_ACTIVITY:STALLS_L1D_MISS,"112057936,59345524,102991776,47091248,57766616,64285204,81368520,167521376","858490496,492418208,294176448,349475968,305316160,280552928,380978208,455610112","7836272128,4043529728,2883495424,2757374464,2266641408,3125612032,3271795456,1984933248","113795504,64728344,54102400,39332124,91190680,110634000,187162560,149000032","807229824,402112352,358920640,332398144,376402752,405229888,482200000,495662688","7545312768,4655140352,3423681536,2402768128,2513517056,2064689920,3351114752,2737234688"
CYCLE_ACTIVITY:STALLS_L2_MISS,"94251296,44749544,74140784,41047440,30452708,60634616,111706000,130376832","736197888,324871808,217897728,204867552,188192512,215692848,330120928,444351168","5913648128,3665670144,1996392832,2081930240,1570771456,1707070464,1943075200,1518855040","97464664,53680596,26602680,29951372,65717496,79636160,116586456,188863728","706495808,326850496,278356416,200369600,280835744,329762656,442187168,318998272","5672445952,2962654208,2645201408,2106148096,1901160064,1118439040,1964512640,1766558080"
CYCLE_ACTIVITY:STALLS_L3_MISS,"6920409,26438478,45449128,19895478,10452254,42059056,58800216,99576712","78459600,48515868,147219904,138593088,59489576,178208048,207161344,401261792","2419602432,2283689728,1884194816,1448473856,1289126528,799632192,1812289792,970117440","796442,5131330,21685754,16111755,55199860,80328240,58203296,130875800","66560440,51668096,41288440,133103768,133925720,215514928,264965664,259429792","2151004672,2398437120,1714822784,1407121408,1301256448,979735680,1471085824,956945216"
RESOURCE_STALLS,"193549088,121512304,163408464,79042392,86979368,101566360,208454480,231403568","1334131968,705007360,546777024,549302720,462992064,481080672,589161280,768642688","11031819264,6417034240,4333764608,3683866112,3461882368,3700324352,4001621248,3396153856","183884128,118756760,89131608,89110112,130907432,170617360,228603472,275430976","1298148096,752715904,673033600,541783168,679032320,569408512,782702720,896123776","11098686464,6317288448,4775774208,3983311360,3542707712,2448426752,3885257216,3667061248"
L2_RQSTS:ALL_DEMAND_DATA_RD,"28434730,15720362,12660302,11288610,10326799,8801104,8788704,8838706","167464032,81422576,64688660,58094700,50812040,39240572,39610584,39053736","1086283264,544776896,391568416,339937760,277714368,203839440,218296656,204073936","28638772,15524026,12403916,11492490,10618976,8936020,8994898,8831413","169469888,83742544,63389504,58372244,50914168,39500220,39780480,39400520","1099841408,520414912,389150272,347663808,286884960,206877632,218864336,202960272"
L2_RQSTS:DEMAND_DATA_RD_HIT,"12917583,32440842,15817579,10490989,24275468,53746708,46957524,69089552","58905036,176426128,148183824,139496112,44412376,127535576,32320474,140684672","528593312,1329144448,1019037504,873975104,232520608,176348048,207602592,178494016","13013018,11970237,31169750,15025134,41154948,52997308,71273832,43413688","56853352,48714940,152062656,44979616,138599952,143631328,193530208,191818608","512576448,1315472896,1022266752,276403904,765112832,196610752,209278176,274074304"
L2_RQSTS:DEMAND_DATA_RD_MISS,"15517507,3470241,1252666,795911,749313,643434,821780,918363","108402928,33379590,17834748,12888414,10786347,6956592,7240338,7660117","556309184,213723792,89835376,63732608,51493244,45175576,40708136,42655424","15631291,3555477,1103936,879898,922838,888231,850306,934800","112622824,34943800,15527899,13452043,11360498,7067298,9506194,8025869","587550912,193155936,97652560,80125536,50787284,42113676,55527284,42830156"
L2_RQSTS:ALL_RFO,"4354651,3220547,2639801,2360862,2230585,1975260,1995764,1922501","26183544,16476712,13150190,11530413,10483335,8905966,8845534,8692484","173435312,96679968,72052200,59985448,52744040,39637620,41329992,42645004","4448633,3228542,2700322,2413273,2202000,1922967,1902213,1878920","25795760,16439624,13058270,11468713,10565194,9008811,8617268,8744396","173389280,97821888,71665688,59874528,52570376,41658392,41896216,41347204"
L2_RQSTS:RFO_HIT,"3388748,2155258,1749307,1456387,1299610,1114608,1189870,1082159","21002600,11632524,8904917,7484745,6482325,5193389,5155040,5063260","144664864,69858672,55631060,44763244,37467596,26247012,26862362,27481914","3339931,2113839,1744227,1468586,1285373,1051177,1151115,1080644","21209154,11561222,8781816,7392325,6317077,5211576,5137729,5150749","139935648,78509008,53798080,43751192,36609536,28092454,27519360,27604452"
L2_RQSTS:RFO_MISS,"957982,1071818,5306741,10087618,19255644,25831876,81515000,74414472","5165082,4832263,4232439,103146448,92409488,3720205,21366076,161029152","28789276,1055170752,20928220,639029184,565267136,31147210,43330564,502245568","1109928,1115514,956191,24481648,28719792,37148960,81930896,849890","4589788,4885759,116991184,101430408,4264354,101202600,46361848,176880176","33418540,1038428480,773175808,645191040,572469056,422823360,784147584,481575008"
