Metric,false,master,close,spread
CYCLE_ACTIVITY:CYCLES_L3_MISS,"27378,38793,36590,19977,194834544,410444736,43609,237048096","46938,28757,36043,38807,53785,62913,47905,71509","48957,32314,39035,42521,132911480,37681,44813,45976","38423,24648,29188,195089952,151044864,251967296,470691328,44507044"
CYCLE_ACTIVITY:STALLS_L1D_MISS,"72230,103089,70925,64632,74345,239914304,363394816,545295808","76688,59522,74680,77093,80330,102219,88054,113453","67850,63464,68850,70171,242906240,266798064,421827168,516847744","49010,60849,51162,86635,84555,88422368,158279056,401578688"
CYCLE_ACTIVITY:STALLS_L2_MISS,"15510,35017,31911,28665,34171,88309392,189060032,113798","34620,25084,30273,31471,35787,43776,48912,68237","32030,24393,34022,38232,34421,50165,44561696,44191112","37647,22662,30710,40496,38024,88326448,122987,227702528"
CYCLE_ACTIVITY:STALLS_L3_MISS,"12293,18898,20501,24232,24781,309266144,340190176,269703200","28343,12086,27541,22532,31096,46792,33724,67017","27053,20754,44145940,24676,25129,32592,652633792,268279600","25437,17568,20195,22692,20717,150790096,266894624,445964480"
RESOURCE_STALLS,"63961752,64106360,64647176,64191300,150508512,69883144,457917440,411359296","64101400,64030312,64200772,64327976,64601672,64539248,64194356,64176992","64345092,64900560,65895956,65221040,154539264,65307452,289009856,246959904","64430800,63896584,64306000,64955512,64940432,212890800,129008584,721070528"
L2_RQSTS:ALL_DEMAND_DATA_RD,"29733,34200,30569,26752,29295,28756,56227,36813","30272,30571,34394,31557,52604,35071,33425,34472","32288,32269,33837,34037,32778,30157,33481,35766","31106,25908,31394,29661,34793,29698,60940,30145"
L2_RQSTS:DEMAND_DATA_RD_HIT,"28336,29824,31964,25055,238910608,88278424,178663024,1257523712","31491,31113,35101,29881,34976,32691,33285,35733","32504,35821,44147780,33624,31789,34431,88778680,358110912","31351,24673,31198,33149,88263528,195111120,381028928,177492256"
L2_RQSTS:DEMAND_DATA_RD_MISS,"138,244,335,335,408,358,702,913","221,164,233,307,296,327,443,666","286,164,333,318,366,583,583,671","251,230,309,423,435,476,516,469"
L2_RQSTS:ALL_RFO,"75393,75099,75186,75517,75598,75965,75377,75497","75444,75553,75243,75121,75215,75621,75711,75774","75561,75624,75324,75205,75244,75266,75796,75787","75369,75404,75072,75157,75156,75250,75987,75708"
L2_RQSTS:RFO_HIT,"74217,73949,73895,73760,73566,74106,73762,74156","73881,74184,73862,73448,73545,73832,73768,73604","74024,74000,74199,73990,73649,74040,74109,73684","73921,73893,73931,73890,73852,74175,74339,73936"
L2_RQSTS:RFO_MISS,"1429,1422,1344,1675,1919,309739456,340061760,363586784","1400,1470,1445,1503,1296,2161,1997,2209","1523,1574,1221,1981,287522304,267719120,324116544,644621952","1406,1681,1340,1293,44117232,44160416,336299104,644921088"
L2_RQSTS:ALL_CODE_RD,"1589,1723,1857,2077,2437,3088,4270,4189","1476,1579,1684,1992,2038,2285,3050,3659","1448,1626,1878,1817,2176,2473,3040,4489","1555,1491,2080,2232,2550,3241,3750,4081"
L2_RQSTS:CODE_RD_HIT,"901,942,905,766,1056,1467,2250,2815","782,805,843,1122,1064,1517,2186,2514","610,796,1035,994,993,1289,1676,2041","744,745,896,1096,925,1674,2416,2705"
L2_RQSTS:CODE_RD_MISS,"716,888,1122,1420,1452,1569,1613,1478","704,760,1031,879,1158,866,1049,1139","723,755,1070,936,1162,1359,1357,1425","779,886,1084,1364,1335,1502,1395,1983"
L2_RQSTS:ALL_PF,"77408,77445,77276,78985,76582,57271092,421577760,540244672","77882,77893,77653,76642,77626,77510,77261,77819","77221,76244,77102,77203,89406448,80394,644983680,653908160","77580,76924,78238,77161,77595,479217856,648523008,79029"
L2_RQSTS:PF_HIT,"2544,2329,2992,2615,239271792,228199984,389656800,189418144","2991,2731,3066,3474,3282,3663,2812,3537","2554,2274,3531,2896,2531,3671,178343200,355723712","3324,2872,2639,57208608,44121116,315455744,177741872,532093792"
L2_RQSTS:PF_MISS,"73516,74035,73890,74163,73946,74128,74566,74396","74364,73954,73751,74185,74329,74444,74328,74350","74409,73954,74524,74660,74511,74738,73973,73977","74162,74171,74567,74648,74587,74575,74523,74085"
L2_RQSTS:ALL_DEMAND_REFERENCES,"106172,106826,109045,104969,107255,108912,116660,119650","106923,108726,108860,109749,113013,112280,112465,114712","105308,111953,110546,109682,111666,113308,114487,112492","106782,106379,108615,108690,106067,107802,140962,111193"
L2_RQSTS:ALL_DEMAND_MISS,"2485,2584,3164,3359,150963360,467567136,669737856,7188","2843,2632,3622,2634,3729,3284,3476,3192","2393,2384,44120924,2782,2720,3410,178413664,794891520","2327,3131,3195,2853,44137344,271507264,235041792,228599984"
L2_RQSTS:REFERENCES,"179787,184279,150945680,187547,283350752,88539840,577535232,88412792","182875,187893,189024,187380,189827,187667,189218,191373","182789,187666,186839,189241,45229072,420794400,133870112,185506736","187042,179478,188743,184784,202046,202048848,274903936,385492928"
L2_RQSTS:MISS,"76702,76943,77336,77308,44194648,208237008,290191040,763127680","76766,76629,77067,77028,77090,77484,77708,78147","76739,76644,77104,77238,44192740,178913472,311792704,266654224","76729,76958,77382,77575,44195688,214683984,806552768,185942944"
OFFCORE_RESPONSE_0:DMND_DATA_RD:ANY_RESPONSE,"208,263,256,321,283568288,265473024,637184128,730833728","209,129,213,276,220,361,401,577","218,176,424,322,154042352,611,649,288368672","162,273,357,238253664,282865056,479098464,572148032,555551360"
OFFCORE_RESPONSE_0:DMND_RFO:ANY_RESPONSE,"1763,1647,1868,1724,132352712,480705248,534773216,642825920","1398,1446,2215,1609,1959,1743,2076,2420","1464,154535120,1242,1218,1655,1421,1794,829454272","1903,1519,1217,1195,194575936,535989216,661254336,822434944"
OFFCORE_RESPONSE_0:DMND_CODE_RD:ANY_RESPONSE,"674,916,1041,1242,1524,525298592,1041186176,1354491776","765,708,1008,847,1119,990,1052,1198","750,153903680,199164816,908,89272112,244764336,134216648,416977984","740,861,1111,1249,238740064,536065216,749685376,438048608"
OFFCORE_RESPONSE_0:PF_L2_DATA_RD:ANY_RESPONSE,"342,3193,372,338,44131056,538315904,492648576,191833600","1274,343,415,472,397,537,701,642","529,312,3031,3315,381,3283,311333152,420875072","438,368,3282,302,282936512,315532832,620904256,133281704"
OFFCORE_RESPONSE_0:PF_L2_RFO:ANY_RESPONSE,"73677,70811,73644,73359,73682,437380448,198457136,944188864","72880,73811,73188,73665,73641,73361,73409,73272","73591,73682,71008,71051,73720,71049,73805,222642224","73538,73622,71073,70958,150658400,536229376,287705920,379000896"
OFFCORE_RESPONSE_0:PF_L1D_AND_SW:ANY_RESPONSE,"40,394,151107168,59,238932048,431766336,687592064,459108160","147,43,40,48,54,72,76,91","47,33,385,20,178047568,409,279131904,396692128","40,35,389,251977456,295540512,580077056,673562688,422392448"
RUNTIME,"2.173,2.182,2.217,2.215,2.227,2.249,2.364,2.472","2.138,2.177,2.889,3.136,3.659,6.043,7.807,10.663","2.083,2.206,2.244,2.267,2.265,2.312,2.338,2.346","2.142,2.178,2.214,2.227,2.217,2.243,3.466,2.315"
